,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x1165c6998>
 <__main__.Word instance at 0x1165c6b00>]",Ethan,2_0,False,True,"[['real'], ['noodles']]",realnoodles,realnoodles,0.5,0.69314718056,False,0.6931471805599453
1,1,"[<__main__.Word instance at 0x1165c6cf8>
 <__main__.Word instance at 0x1165c6ea8>]",Ethan,2_0,False,True,"[['cup'], ['noodles']]",cupnoodles,cupnoodles,0.5,0.69314718056,False,0.6931471805599453
2,2,"[<__main__.Word instance at 0x106ea5cf8>
 <__main__.Word instance at 0x106eb15a8>
 <__main__.Word instance at 0x106eb1908>]",Ethan,2_0,False,True,"[['cup'], ['of', 'noodles']]",cupofnoodles,cupofnoodles,0.5,0.69314718056,False,0.6931471805599453
3,3,"[<__main__.Word instance at 0x106eb1368>
 <__main__.Word instance at 0x106eb1c20>
 <__main__.Word instance at 0x106eb1b00>
 <__main__.Word instance at 0x106eb39e0>
 <__main__.Word instance at 0x106eb3c20>]",Ethan,2_0,False,False,"[[""I'll""], ['noodles'], ['give'], ['you'], ['real']]",I'llgiveyourealnoodles,giveyouI'llnoodlesreal,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
4,4,"[<__main__.Word instance at 0x106eb3bd8>
 <__main__.Word instance at 0x10704a560>]",Ethan,2_0,False,True,"[['pretend'], ['pretend']]",pretendpretend,pretendpretend,0.5,0.69314718056,True,-0.0
5,5,[<__main__.Word instance at 0x10704a7a0>],Ethan,2_0,False,True,[['pretend']],pretend,pretend,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x10704aa28>],Ethan,2_0,False,True,[['pretend']],pretend,pretend,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x10704a3f8>],Ethan,2_0,False,True,[['no']],no,no,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x1165cc3b0>],Ethan,2_0,False,True,[['break']],break,break,1.0,0.0,False,-0.0
9,9,"[<__main__.Word instance at 0x1165cc518>
 <__main__.Word instance at 0x1165cc680>
 <__main__.Word instance at 0x1165cc710>]",Ethan,2_0,False,False,"[['the'], ['red'], ['one']]",theredone,redonethe,0.166666666667,-0.182321556794,False,-0.1823215567939546
10,10,"[<__main__.Word instance at 0x1165cc830>
 <__main__.Word instance at 0x1165cca28>]",Ethan,2_0,False,False,"[[""that's""], ['another']]",that'sanother,anotherthat's,0.5,-0.69314718056,False,-0.6931471805599453
11,11,"[<__main__.Word instance at 0x1165cc998>
 <__main__.Word instance at 0x1165ccb48>]",Ethan,2_0,False,True,"[['one'], ['red']]",redone,redone,0.5,0.69314718056,False,0.6931471805599453
12,12,"[<__main__.Word instance at 0x1165ccd88>
 <__main__.Word instance at 0x1165cce18>]",Ethan,2_0,False,False,"[['red'], ['the']]",thered,redthe,0.5,-0.69314718056,False,-0.6931471805599453
13,13,"[<__main__.Word instance at 0x1165ccfc8>
 <__main__.Word instance at 0x1165ccea8>
 <__main__.Word instance at 0x1165cc8c0>]",Ethan,2_0,False,True,"[['one'], ['a'], ['green']]",agreenone,agreenone,0.166666666667,1.79175946923,False,1.791759469228055
14,14,"[<__main__.Word instance at 0x1165d00e0>
 <__main__.Word instance at 0x1165d0290>]",Ethan,2_0,False,True,"[['heavy'], ['a']]",aheavy,aheavy,0.5,0.69314718056,False,0.6931471805599453
15,15,[<__main__.Word instance at 0x1165d03f8>],Ethan,2_0,False,True,[['green']],green,green,1.0,0.0,False,-0.0
16,16,[<__main__.Word instance at 0x1165d0908>],Ethan,2_0,False,True,[['red']],red,red,1.0,0.0,False,-0.0
17,17,"[<__main__.Word instance at 0x1165d05a8>
 <__main__.Word instance at 0x1165d09e0>
 <__main__.Word instance at 0x1165d0a70>]",Ethan,2_0,False,False,"[['green'], ['red'], ['the']]",theredgreen,redthegreen,0.166666666667,-0.182321556794,False,-0.1823215567939546
18,18,"[<__main__.Word instance at 0x1165d0c20>
 <__main__.Word instance at 0x1165d0f38>
 <__main__.Word instance at 0x1165d0e18>]",Ethan,2_0,False,False,"[['another'], ['orange'], ['one']]",anotherorangeone,orangeanotherone,0.166666666667,-0.182321556794,False,-0.1823215567939546
19,19,[<__main__.Word instance at 0x1165d0f80>],Ethan,2_0,False,True,[['orange']],orange,orange,1.0,0.0,False,-0.0
20,20,"[<__main__.Word instance at 0x1165d3050>
 <__main__.Word instance at 0x1165d3128>]",Ethan,2_0,False,True,"[['on'], ['put']]",puton,puton,0.5,0.69314718056,False,0.6931471805599453
21,21,"[<__main__.Word instance at 0x1165d3098>
 <__main__.Word instance at 0x1165d32d8>]",Ethan,2_0,False,False,"[['off'], ['took']]",tookoff,offtook,0.5,-0.69314718056,False,-0.6931471805599453
22,22,"[<__main__.Word instance at 0x1165d3368>
 <__main__.Word instance at 0x1165d3518>
 <__main__.Word instance at 0x1165d33f8>
 <__main__.Word instance at 0x1165d37a0>
 <__main__.Word instance at 0x1165d3248>]",Ethan,2_0,False,False,"[['you'], ['now'], ['make'], ['a', 'necklace']]",nowyoumakeanecklace,makeyouanecklacenow,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
23,23,"[<__main__.Word instance at 0x1165d34d0>
 <__main__.Word instance at 0x1165d38c0>]",Ethan,2_0,False,True,"[['it'], ['eat']]",eatit,eatit,0.5,0.69314718056,False,0.6931471805599453
24,24,"[<__main__.Word instance at 0x1165d3ab8>
 <__main__.Word instance at 0x1165d3950>]",Ethan,2_0,False,True,"[['my'], ['play']]",myplay,myplay,0.5,0.69314718056,False,0.6931471805599453
25,25,"[<__main__.Word instance at 0x1165d3710>
 <__main__.Word instance at 0x1165d39e0>]",Ethan,2_0,False,False,"[['you'], ['do']]",youdo,doyou,0.5,-0.69314718056,False,-0.6931471805599453
