num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x1092a5560>
 <__main__.Word instance at 0x1092a5a70>]";Naima;1_6;False;True;[['Naima'], ['Naima']];NaimaNaima;NaimaNaima;0.5;0.69314718056
1;[<__main__.Word instance at 0x1092a5cf8>];Naima;1_6;False;True;[['athlete']];athlete;athlete;1.0;0.0
2;"[<__main__.Word instance at 0x1092a5758>
 <__main__.Word instance at 0x1092a58c0>]";Naima;1_6;False;True;[['Genaba'], ['eat']];Genabaeat;Genabaeat;0.5;0.69314718056
3;"[<__main__.Word instance at 0x11815d3b0>
 <__main__.Word instance at 0x11815d518>
 <__main__.Word instance at 0x11815d5a8>
 <__main__.Word instance at 0x11815d710>]";Naima;1_6;False;False;[['stamp'], ['stamp'], ['eating'], ['Genaba']];Genabaeatingstampstamp;eatingstampstampGenaba;0.0416666666667;-0.0425596144188
4;"[<__main__.Word instance at 0x11815d9e0>
 <__main__.Word instance at 0x11815db00>
 <__main__.Word instance at 0x11815dc20>]";Naima;1_6;False;True;[['with'], ['with'], ['with']];withwithwith;withwithwith;0.166666666667;1.79175946923
5;"[<__main__.Word instance at 0x11815de60>
 <__main__.Word instance at 0x11815df80>
 <__main__.Word instance at 0x109100cf8>]";Naima;1_6;False;True;[['Badega'], ['Badega'], ['Badega']];BadegaBadegaBadega;BadegaBadegaBadega;0.166666666667;1.79175946923
6;[<__main__.Word instance at 0x10910c6c8>];Naima;1_6;False;True;[['animals']];animals;animals;1.0;0.0
7;"[<__main__.Word instance at 0x10910c998>
 <__main__.Word instance at 0x10910cb48>
 <__main__.Word instance at 0x10910cc20>
 <__main__.Word instance at 0x1181630e0>
 <__main__.Word instance at 0x118163200>
 <__main__.Word instance at 0x118163320>
 <__main__.Word instance at 0x1181634d0>
 <__main__.Word instance at 0x118163368>]";Naima;1_6;False;False;[['Alan'], ['noise'], ['noise'], ['noise'], ['Alan'], ['noise'], ['Alan'], ['Alan']];AlannoisenoiseAlannoiseAlanAlannoise;noiseAlanAlanAlannoiseAlannoisenoise;2.48015873016e-05;-2.4801894866e-05
8;"[<__main__.Word instance at 0x118163560>
 <__main__.Word instance at 0x1181638c0>
 <__main__.Word instance at 0x118163758>]";Naima;1_6;False;True;[['animals'], ['visited'], ['with']];withanimalsvisited;withanimalsvisited;0.166666666667;1.79175946923
9;[<__main__.Word instance at 0x118163950>];Naima;1_6;False;True;[['Daddy']];Daddy;Daddy;1.0;0.0
10;"[<__main__.Word instance at 0x118163b48>
 <__main__.Word instance at 0x118163ea8>]";Naima;1_6;False;True;[['Daddy'], ['come']];Daddycome;Daddycome;0.5;0.69314718056
11;"[<__main__.Word instance at 0x118163f38>
 <__main__.Word instance at 0x118163c68>]";Naima;1_6;False;True;[['toes'], ['toes']];toestoes;toestoes;0.5;0.69314718056
12;"[<__main__.Word instance at 0x118163ef0>
 <__main__.Word instance at 0x118167050>]";Naima;1_6;False;True;[['feet'], ['feet']];feetfeet;feetfeet;0.5;0.69314718056
13;[<__main__.Word instance at 0x118167248>];Naima;1_6;False;True;[['feet']];feet;feet;1.0;0.0
14;"[<__main__.Word instance at 0x118167320>
 <__main__.Word instance at 0x1181673f8>
 <__main__.Word instance at 0x118167290>
 <__main__.Word instance at 0x1181674d0>]";Naima;1_6;False;False;[['Daddy'], ['follow'], ['baby', 'Alex']];followbabyAlexDaddy;DaddybabyAlexfollow;0.166666666667;-0.182321556794
15;"[<__main__.Word instance at 0x1181675a8>
 <__main__.Word instance at 0x118167440>
 <__main__.Word instance at 0x118167680>]";Naima;1_6;False;False;[['Alan'], ['Alan'], ['noise']];AlanAlannoise;noiseAlanAlan;0.166666666667;-0.182321556794
16;"[<__main__.Word instance at 0x118167638>
 <__main__.Word instance at 0x1181678c0>]";Naima;1_6;False;True;[['boy'], ['boy']];boyboy;boyboy;0.5;0.69314718056
17;"[<__main__.Word instance at 0x118167950>
 <__main__.Word instance at 0x118167a70>
 <__main__.Word instance at 0x118167758>
 <__main__.Word instance at 0x118167b90>]";Naima;1_6;False;False;[['rides'], ['noise'], ['ride'], ['noisy']];ridesridenoisynoise;noiseridesnoisyride;0.0416666666667;-0.0425596144188
18;"[<__main__.Word instance at 0x118167c68>
 <__main__.Word instance at 0x1181675f0>
 <__main__.Word instance at 0x118167d40>
 <__main__.Word instance at 0x118167bd8>]";Naima;1_6;False;False;[['grass'], ['cut'], ['grass'], ['cut']];grasscutcutgrass;grassgrasscutcut;0.0416666666667;-0.0425596144188
19;"[<__main__.Word instance at 0x118167cb0>
 <__main__.Word instance at 0x118167ef0>]";Naima;1_6;False;True;[['noisy'], ['noisy']];noisynoisy;noisynoisy;0.5;0.69314718056
20;"[<__main__.Word instance at 0x118167e60>
 <__main__.Word instance at 0x118167f38>]";Naima;1_6;False;True;[['Alan'], ['noisy']];Alannoisy;Alannoisy;0.5;0.69314718056
21;"[<__main__.Word instance at 0x118167878>
 <__main__.Word instance at 0x11816a050>
 <__main__.Word instance at 0x11816a128>
 <__main__.Word instance at 0x11816a1b8>
 <__main__.Word instance at 0x11816a290>
 <__main__.Word instance at 0x11816a098>]";Naima;1_6;False;False;[['make'], ['noise'], ['noise'], ['make'], ['noise'], ['make']];makenoisemakenoisemakenoise;makenoisenoisemakenoisemake;0.00138888888889;-0.00138985428905
22;"[<__main__.Word instance at 0x11816a2d8>
 <__main__.Word instance at 0x11816a5a8>
 <__main__.Word instance at 0x11816a638>]";Naima;1_6;False;True;[['under'], ['under'], ['under']];underunderunder;underunderunder;0.166666666667;1.79175946923
23;"[<__main__.Word instance at 0x11816a6c8>
 <__main__.Word instance at 0x11816a3b0>]";Naima;1_6;False;True;[['come'], ['Daddy']];Daddycome;Daddycome;0.5;0.69314718056
24;[<__main__.Word instance at 0x11816a758>];Naima;1_6;False;True;[['Mommy']];Mommy;Mommy;1.0;0.0
25;"[<__main__.Word instance at 0x11816a200>
 <__main__.Word instance at 0x11816aab8>
 <__main__.Word instance at 0x11816a3f8>
 <__main__.Word instance at 0x11816ab48>
 <__main__.Word instance at 0x11816aa28>
 <__main__.Word instance at 0x11816ad40>
 <__main__.Word instance at 0x11816abd8>
 <__main__.Word instance at 0x11816add0>
 <__main__.Word instance at 0x11816a878>]";Naima;1_6;False;False;[['ding', 'dong'], ['ding', 'dong'], ['sing'], ['ding', 'dong'], ['sing'], ['bell']];singsingdingdongdingdongdingdongbell;bellsingdingdongsingdingdongdingdong;0.00138888888889;-0.00138985428905
26;[<__main__.Word instance at 0x11816ae60>];Naima;1_6;False;True;[['somebody']];somebody;somebody;1.0;0.0
27;[<__main__.Word instance at 0x11816a950>];Naima;1_6;False;True;[['bell']];bell;bell;1.0;0.0
28;"[<__main__.Word instance at 0x11816d098>
 <__main__.Word instance at 0x11816d128>]";Naima;1_6;False;True;[['ribbon'], ['ribbon']];ribbonribbon;ribbonribbon;0.5;0.69314718056
29;"[<__main__.Word instance at 0x11816d320>
 <__main__.Word instance at 0x11816d518>
 <__main__.Word instance at 0x11816d1b8>]";Naima;1_6;False;True;[['ribbon'], ['under'], ['under']];underribbonunder;underribbonunder;0.166666666667;1.79175946923
30;"[<__main__.Word instance at 0x11816d488>
 <__main__.Word instance at 0x11816d680>
 <__main__.Word instance at 0x11816d560>
 <__main__.Word instance at 0x11816d7a0>]";Naima;1_6;False;False;[['koala'], ['koala'], ['hide'], ['hide']];koalahidehidekoala;koalakoalahidehide;0.0416666666667;-0.0425596144188
31;"[<__main__.Word instance at 0x11816d878>
 <__main__.Word instance at 0x11816d908>]";Naima;1_6;False;False;[['carrot'], ['kiss']];kisscarrot;carrotkiss;0.5;-0.69314718056
32;"[<__main__.Word instance at 0x11816dcb0>
 <__main__.Word instance at 0x11816da70>
 <__main__.Word instance at 0x11816dd40>
 <__main__.Word instance at 0x11816d7e8>]";Naima;1_6;False;False;[['carrot'], ['eat'], ['carrot'], ['eat']];carroteatcarroteat;carroteateatcarrot;0.0416666666667;-0.0425596144188
33;"[<__main__.Word instance at 0x11816dc20>
 <__main__.Word instance at 0x11816dea8>
 <__main__.Word instance at 0x11816dd88>]";Naima;1_6;False;False;[['eat'], ['carrot'], ['eat']];eatcarroteat;carroteateat;0.166666666667;-0.182321556794
34;[<__main__.Word instance at 0x118171098>];Naima;1_6;False;True;[['hand']];hand;hand;1.0;0.0
35;"[<__main__.Word instance at 0x118171050>
 <__main__.Word instance at 0x118171710>]";Naima;1_6;False;True;[['feed'], ['feed']];feedfeed;feedfeed;0.5;0.69314718056
36;"[<__main__.Word instance at 0x118171758>
 <__main__.Word instance at 0x1181712d8>
 <__main__.Word instance at 0x1181719e0>]";Naima;1_6;False;True;[['hand'], ['hand'], ['Naima']];handNaimahand;handNaimahand;0.166666666667;1.79175946923
37;[<__main__.Word instance at 0x118171a28>];Naima;1_6;False;True;[['carrots']];carrots;carrots;1.0;0.0
38;[<__main__.Word instance at 0x118171c20>];Naima;1_6;False;True;[['tangled']];tangled;tangled;1.0;0.0
39;"[<__main__.Word instance at 0x118171cb0>
 <__main__.Word instance at 0x1181715a8>
 <__main__.Word instance at 0x118171f38>
 <__main__.Word instance at 0x1181717e8>]";Naima;1_6;False;False;[['clunk'], ['clunk'], ['Naima'], ['Naima']];clunkNaimaNaimaclunk;clunkclunkNaimaNaima;0.0416666666667;-0.0425596144188
40;"[<__main__.Word instance at 0x118171ea8>
 <__main__.Word instance at 0x118171bd8>
 <__main__.Word instance at 0x118171dd0>]";Naima;1_6;False;False;[['slide'], ['slide'], ['clunk']];slideclunkslide;clunkslideslide;0.166666666667;-0.182321556794
41;"[<__main__.Word instance at 0x1181741b8>
 <__main__.Word instance at 0x118174050>]";Naima;1_6;False;True;[['for'], ['Naima']];forNaima;forNaima;0.5;0.69314718056
