num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x115cafc68>
 <__main__.Word instance at 0x115cafdd0>
 <__main__.Word instance at 0x115cafe60>
 <__main__.Word instance at 0x115caffc8>
 <__main__.Word instance at 0x105718560>
 <__main__.Word instance at 0x105718a70>]";William;3_0;False;False;[['go'], ['it'], ['I'], ['did'], ['more'], ['yay']];Ididitgomoreyay;itdidIgoyaymore;0.00138888888889;-0.00138985428905
1;"[<__main__.Word instance at 0x105718cf8>
 <__main__.Word instance at 0x105718a28>
 <__main__.Word instance at 0x105718758>
 <__main__.Word instance at 0x1057188c0>
 <__main__.Word instance at 0x105718518>]";William;3_0;False;True;[['did'], ['it'], ['go'], ['more'], ['it']];itdiditgomore;itdiditgomore;0.00833333333333;4.78749174278
2;"[<__main__.Word instance at 0x10557f908>
 <__main__.Word instance at 0x10557f998>
 <__main__.Word instance at 0x10557fb48>
 <__main__.Word instance at 0x105573cf8>
 <__main__.Word instance at 0x105581c20>
 <__main__.Word instance at 0x105581bd8>]";William;3_0;False;False;[['yay'], ['it'], ['more'], ['it'], ['did'], ['go']];itdiditgomoreyay;itdiditgoyaymore;0.00138888888889;-0.00138985428905
3;[<__main__.Word instance at 0x115cb51b8>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
4;"[<__main__.Word instance at 0x115cb53f8>
 <__main__.Word instance at 0x115cb5518>
 <__main__.Word instance at 0x115cb5638>]";William;3_0;False;False;[['how'], ['about'], ['okay']];okayhowabout;abouthowokay;0.166666666667;-0.182321556794
5;[<__main__.Word instance at 0x115cb5878>];William;3_0;False;True;[['purple']];purple;purple;1.0;0.0
6;"[<__main__.Word instance at 0x115cb5a70>
 <__main__.Word instance at 0x115cb5cf8>]";William;3_0;False;False;[['orange'], ['the']];theorange;orangethe;0.5;-0.69314718056
7;"[<__main__.Word instance at 0x115cb5e60>
 <__main__.Word instance at 0x115cb5f38>
 <__main__.Word instance at 0x115cb5dd0>]";William;3_0;False;False;[['orange'], ['oh'], ['orange']];orangeorangeoh;orangeohorange;0.166666666667;-0.182321556794
8;"[<__main__.Word instance at 0x115cb5f80>
 <__main__.Word instance at 0x115cb5c68>
 <__main__.Word instance at 0x115cba050>
 <__main__.Word instance at 0x115cba128>]";William;3_0;False;False;[['orange'], ['help'], ['can'], ['me']];canhelpmeorange;orangemehelpcan;0.0416666666667;-0.0425596144188
9;[<__main__.Word instance at 0x115cba290>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
10;[<__main__.Word instance at 0x115cba3b0>];William;3_0;False;True;[['red']];red;red;1.0;0.0
11;[<__main__.Word instance at 0x115cba758>];William;3_0;False;True;[['orange']];orange;orange;1.0;0.0
12;"[<__main__.Word instance at 0x115cbacf8>
 <__main__.Word instance at 0x115cba878>
 <__main__.Word instance at 0x115cbad40>
 <__main__.Word instance at 0x115cbac68>]";William;3_0;False;False;[['open'], ['can'], ['you'], ['it']];canyouopenit;youcanopenit;0.0416666666667;-0.0425596144188
13;[<__main__.Word instance at 0x115cbab90>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
14;[<__main__.Word instance at 0x115cba908>];William;3_0;False;True;[['whoa']];whoa;whoa;1.0;0.0
15;[<__main__.Word instance at 0x115cbafc8>];William;3_0;False;True;[['circle']];circle;circle;1.0;0.0
16;"[<__main__.Word instance at 0x115cbaf80>
 <__main__.Word instance at 0x115cbd050>
 <__main__.Word instance at 0x115cbd170>]";William;3_0;False;False;[['and'], ['do'], ['I']];andIdo;doIand;0.166666666667;-0.182321556794
17;[<__main__.Word instance at 0x115cbd1b8>];William;3_0;False;True;[['red']];red;red;1.0;0.0
18;"[<__main__.Word instance at 0x115cbd248>
 <__main__.Word instance at 0x115cbd4d0>
 <__main__.Word instance at 0x115cbd680>]";William;3_0;False;False;[['green'], ['how', 'bout']];howboutgreen;greenhowbout;0.5;-0.69314718056
19;[<__main__.Word instance at 0x115cbd758>];William;3_0;False;True;[['help']];help;help;1.0;0.0
20;[<__main__.Word instance at 0x115cbd830>];William;3_0;False;True;[['what']];what;what;1.0;0.0
21;"[<__main__.Word instance at 0x115cbd8c0>
 <__main__.Word instance at 0x115cbdd88>
 <__main__.Word instance at 0x115cbdc68>]";William;3_0;False;True;[['a', 'circle'], ['huh']];huhacircle;huhacircle;0.5;0.69314718056
22;"[<__main__.Word instance at 0x115cbd440>
 <__main__.Word instance at 0x115cbda28>
 <__main__.Word instance at 0x115cbdf38>]";William;3_0;False;False;[['that'], ['how', 'bout']];howboutthat;thathowbout;0.5;-0.69314718056
23;"[<__main__.Word instance at 0x115cc1098>
 <__main__.Word instance at 0x115cc11b8>
 <__main__.Word instance at 0x115cc10e0>]";William;3_0;False;False;[['that'], ['how', 'bout']];howboutthat;thathowbout;0.5;-0.69314718056
24;[<__main__.Word instance at 0x115cc1488>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
25;[<__main__.Word instance at 0x115cc1560>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
26;[<__main__.Word instance at 0x115cc1638>];William;3_0;False;True;[['whoa']];whoa;whoa;1.0;0.0
27;"[<__main__.Word instance at 0x115cc13f8>
 <__main__.Word instance at 0x115cc1c68>]";William;3_0;False;True;[['a'], ['that']];thata;thata;0.5;0.69314718056
28;"[<__main__.Word instance at 0x115cc1dd0>
 <__main__.Word instance at 0x115cc1998>
 <__main__.Word instance at 0x115cc1d88>
 <__main__.Word instance at 0x115cc1830>]";William;3_0;False;False;[['I'], ['mouth'], ['make'], ['a']];Imakeamouth;aImouthmake;0.0416666666667;-0.0425596144188
29;"[<__main__.Word instance at 0x115cc1ea8>
 <__main__.Word instance at 0x115cc15a8>]";William;3_0;False;False;"[['that'], [""how's""]]";how'sthat;thathow's;0.5;-0.69314718056
30;"[<__main__.Word instance at 0x115cc1f80>
 <__main__.Word instance at 0x115cc1ab8>
 <__main__.Word instance at 0x115cc1d40>
 <__main__.Word instance at 0x115cc40e0>
 <__main__.Word instance at 0x115cc41b8>]";William;3_0;False;False;"[['a', 'square'], [""I'm""], ['a'], ['make']]";I'mamakeasquare;amakeasquareI'm;0.0416666666667;-0.0425596144188
31;[<__main__.Word instance at 0x115cc4248>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
