,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x10b312560>
 <__main__.Word instance at 0x10b312a70>
 <__main__.Word instance at 0x10b3127a0>
 <__main__.Word instance at 0x10b312cf8>
 <__main__.Word instance at 0x10b312a28>
 <__main__.Word instance at 0x10b312758>
 <__main__.Word instance at 0x10b3128c0>
 <__main__.Word instance at 0x10b312518>
 <__main__.Word instance at 0x11f4225f0>]",Naima,2_6,False,False,"[['see'], ['the', 'land'], ['why'], ['to'], ['the', 'ship'], ['do'], ['want']]",whydotheshipwanttoseetheland,dowhytheshiptoseethelandwant,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
1,1,[<__main__.Word instance at 0x11f4227e8>],Naima,2_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x11f422b00>
 <__main__.Word instance at 0x11f422c20>
 <__main__.Word instance at 0x11f422d40>
 <__main__.Word instance at 0x11f422e60>
 <__main__.Word instance at 0x11f422f80>
 <__main__.Word instance at 0x10b17ba28>
 <__main__.Word instance at 0x10b17bc68>
 <__main__.Word instance at 0x10b17bbd8>
 <__main__.Word instance at 0x11f4280e0>
 <__main__.Word instance at 0x11f428200>]",Naima,2_6,True,,,whydodotheshipswanttoseetheland,,,,NaN,NaN
3,3,[<__main__.Word instance at 0x11f428440>],Naima,2_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x11f4286c8>
 <__main__.Word instance at 0x11f4288c0>
 <__main__.Word instance at 0x11f428758>
 <__main__.Word instance at 0x11f428ab8>
 <__main__.Word instance at 0x11f428950>
 <__main__.Word instance at 0x11f428cb0>
 <__main__.Word instance at 0x11f428b48>
 <__main__.Word instance at 0x11f428ea8>]",Naima,2_6,True,,,I'mashipIhearthefoghorn,,,,NaN,NaN
5,5,[<__main__.Word instance at 0x11f428f38>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
6,6,"[<__main__.Word instance at 0x10b1795a8>
 <__main__.Word instance at 0x10b179a28>
 <__main__.Word instance at 0x10b179368>
 <__main__.Word instance at 0x10b179b00>]",Naima,2_6,False,False,"[[""Daddy's""], ['a'], ['fog', 'horn']]",Daddy'safoghorn,afoghornDaddy's,0.166666666667,-0.182321556794,False,-0.1823215567939546
7,7,[<__main__.Word instance at 0x11f42d0e0>],Naima,2_6,False,True,[['why']],why,why,1.0,0.0,False,-0.0
8,8,"[<__main__.Word instance at 0x11f42d170>
 <__main__.Word instance at 0x11f42d3b0>
 <__main__.Word instance at 0x11f42d440>
 <__main__.Word instance at 0x11f42d2d8>
 <__main__.Word instance at 0x11f42d518>]",Naima,2_6,False,True,"[['time'], ['the'], ['Maine'], ['at'], ['spend']]",spendthetimeatMaine,spendthetimeatMaine,0.00833333333333,4.78749174278,False,4.787491742782046
9,9,"[<__main__.Word instance at 0x11f42d5f0>
 <__main__.Word instance at 0x11f42d488>
 <__main__.Word instance at 0x11f42d6c8>]",Naima,2_6,False,True,"[['the', 'tape'], ['and']]",andthetape,andthetape,0.5,0.69314718056,False,0.6931471805599453
