,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x118a671b8>
 <__main__.Word instance at 0x118a67320>
 <__main__.Word instance at 0x118a673b0>
 <__main__.Word instance at 0x118a67518>]",Violet,2_6,False,False,"[['see'], ['can'], ['it'], ['I']]",canIseeit,seeitcanI,0.0416666666667,False,-0.04255961441879589
1,1,[<__main__.Word instance at 0x118a677a0>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x118a67950>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x118a67a70>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x118a67b90>
 <__main__.Word instance at 0x118a67c20>
 <__main__.Word instance at 0x118a67cb0>
 <__main__.Word instance at 0x118a67d40>
 <__main__.Word instance at 0x118a67dd0>]",Violet,2_6,False,False,"[['wanna'], ['see'], ['the'], ['I'], ['too']]",Iwannaseethetoo,seethetoowannaI,0.00833333333333,False,-0.00836824967051658
5,5,"[<__main__.Word instance at 0x118a67ef0>
 <__main__.Word instance at 0x118a67f80>
 <__main__.Word instance at 0x109ae5560>
 <__main__.Word instance at 0x109ae5a70>]",Violet,2_6,True,,,let'sgomarchthis,,,NaN,NaN
6,6,"[<__main__.Word instance at 0x109ae5cf8>
 <__main__.Word instance at 0x109ae5a28>
 <__main__.Word instance at 0x109ae5758>
 <__main__.Word instance at 0x109ae58c0>]",Violet,2_6,False,False,"[['we'], ['today'], ['brought'], ['look']]",lookwebroughttoday,welooktodaybrought,0.0416666666667,False,-0.04255961441879589
7,7,"[<__main__.Word instance at 0x109ae5680>
 <__main__.Word instance at 0x109ae5518>
 <__main__.Word instance at 0x109ae54d0>
 <__main__.Word instance at 0x109ae5488>]",Violet,2_6,False,True,"[['can'], ['my'], ['we'], ['bring']]",wecanbringmy,wecanbringmy,0.0416666666667,False,3.1780538303479458
8,8,"[<__main__.Word instance at 0x109ae5440>
 <__main__.Word instance at 0x109ae5f80>
 <__main__.Word instance at 0x10994c5a8>]",Violet,2_6,False,False,"[['mouse', 'club'], ['mickey']]",mickeymouseclub,mouseclubmickey,0.5,False,-0.6931471805599453
9,9,[<__main__.Word instance at 0x10994ca28>],Violet,2_6,True,,,blanket,,,NaN,NaN
10,10,"[<__main__.Word instance at 0x10994c908>
 <__main__.Word instance at 0x10994c998>
 <__main__.Word instance at 0x10994c878>
 <__main__.Word instance at 0x10994cb00>
 <__main__.Word instance at 0x10994c368>
 <__main__.Word instance at 0x10994ea28>
 <__main__.Word instance at 0x10994eab8>]",Violet,2_6,True,,,wecanbringmymickeymouseblanket,,,NaN,NaN
11,11,[<__main__.Word instance at 0x10994e9e0>],Violet,2_6,True,,,blanket,,,NaN,NaN
12,12,"[<__main__.Word instance at 0x10994ebd8>
 <__main__.Word instance at 0x109940cf8>
 <__main__.Word instance at 0x118a6d050>
 <__main__.Word instance at 0x118a6d0e0>
 <__main__.Word instance at 0x118a6d128>]",Violet,2_6,False,False,"[[""I'm""], ['sitting'], ['here'], ['right'], ['mom']]",momI'msittingrighthere,heremomrightI'msitting,0.00833333333333,False,-0.00836824967051658
13,13,[<__main__.Word instance at 0x118a6d320>],Violet,2_6,False,True,[['no']],no,no,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x118a6d440>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x118a6d560>],Violet,2_6,False,True,[['no']],no,no,1.0,False,-0.0
16,16,"[<__main__.Word instance at 0x118a6d710>
 <__main__.Word instance at 0x118a6d5a8>
 <__main__.Word instance at 0x118a6d7e8>
 <__main__.Word instance at 0x118a6d8c0>]",Violet,2_6,False,False,"[['I', ""don't""], ['it'], ['remember']]",Idon'trememberit,itIdon'tremember,0.166666666667,False,-0.1823215567939546
17,17,"[<__main__.Word instance at 0x118a6d950>
 <__main__.Word instance at 0x118a6d830>
 <__main__.Word instance at 0x118a6db48>
 <__main__.Word instance at 0x118a6da28>
 <__main__.Word instance at 0x118a6dc20>]",Violet,2_6,False,True,"[['I'], ['wanna', 'read'], ['itsy', 'bitsy']]",Iwannareaditsybitsy,Iwannareaditsybitsy,0.166666666667,False,1.791759469228055
