,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x11373cc68>],Violet,4_0,False,True,[['trick']],trick,trick,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x11373ce60>
 <__main__.Word instance at 0x11373cfc8>
 <__main__.Word instance at 0x102dd3560>
 <__main__.Word instance at 0x102dd3a70>
 <__main__.Word instance at 0x102dd37a0>]",Violet,4_0,False,False,"[['light'], ['need'], ['in'], ['here'], ['this']]",needthislightinhere,herethisinneedlight,0.00833333333333,False,-0.00836824967051658
2,2,[<__main__.Word instance at 0x102dd3a28>],Violet,4_0,True,,,Tigri,,,NaN,NaN
3,3,"[<__main__.Word instance at 0x102dd38c0>
 <__main__.Word instance at 0x102dd39e0>
 <__main__.Word instance at 0x102dd3680>
 <__main__.Word instance at 0x102dd3518>
 <__main__.Word instance at 0x102dd34d0>
 <__main__.Word instance at 0x102dd3488>
 <__main__.Word instance at 0x102dd33f8>
 <__main__.Word instance at 0x102dd3440>
 <__main__.Word instance at 0x102dd3f80>]",Violet,4_0,False,False,"[['in'], ['ready'], ['book'], ['get'], ['I'], ['have_to'], ['first'], ['of'], ['my']]",firstIhave_togetreadyinmybookof,inmybookfirstIhave_togetreadyof,2.7557319224e-06,False,-2.7557357194686928e-06
4,4,"[<__main__.Word instance at 0x113742290>
 <__main__.Word instance at 0x1137423b0>
 <__main__.Word instance at 0x113742440>]",Violet,4_0,True,,,there'sairbornetigers,,,NaN,NaN
5,5,"[<__main__.Word instance at 0x113742560>
 <__main__.Word instance at 0x1137425f0>
 <__main__.Word instance at 0x113742680>]",Violet,4_0,False,False,"[['going'], ['up'], [""he's""]]",he'sgoingup,upgoinghe's,0.166666666667,False,-0.1823215567939546
6,6,[<__main__.Word instance at 0x1137427a0>],Violet,4_0,False,True,[['up']],up,up,1.0,False,-0.0
7,7,"[<__main__.Word instance at 0x1137428c0>
 <__main__.Word instance at 0x113742950>
 <__main__.Word instance at 0x1137429e0>
 <__main__.Word instance at 0x113742a70>
 <__main__.Word instance at 0x113742b00>
 <__main__.Word instance at 0x113742b90>
 <__main__.Word instance at 0x113742bd8>
 <__main__.Word instance at 0x113742cf8>
 <__main__.Word instance at 0x113742dd0>]",Violet,4_0,True,,,yeahbutI'mtryingtomakehimgoflippy,,,NaN,NaN
8,8,"[<__main__.Word instance at 0x113742ef0>
 <__main__.Word instance at 0x113742f80>
 <__main__.Word instance at 0x102c3a5a8>]",Violet,4_0,False,True,"[['the', 'door'], ['open']]",openthedoor,openthedoor,0.5,False,0.6931471805599453
9,9,"[<__main__.Word instance at 0x102c3aa28>
 <__main__.Word instance at 0x102c3a4d0>
 <__main__.Word instance at 0x102c3a908>]",Violet,4_0,True,,,let'stossit,,,NaN,NaN
10,10,[<__main__.Word instance at 0x102c3a878>],Violet,4_0,False,True,[['whoa']],whoa,whoa,1.0,False,-0.0
11,11,"[<__main__.Word instance at 0x102c3a368>
 <__main__.Word instance at 0x102c3ca28>
 <__main__.Word instance at 0x102c3cab8>]",Violet,4_0,False,False,"[['an'], ['one'], ['extra']]",anextraone,extraanone,0.166666666667,False,-0.1823215567939546
12,12,[<__main__.Word instance at 0x102c3c9e0>],Violet,4_0,False,True,[['extra']],extra,extra,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x102c3cbd8>],Violet,4_0,False,True,[['oh']],oh,oh,1.0,False,-0.0
14,14,"[<__main__.Word instance at 0x113748050>
 <__main__.Word instance at 0x113748128>
 <__main__.Word instance at 0x113748200>
 <__main__.Word instance at 0x113748098>
 <__main__.Word instance at 0x1137482d8>
 <__main__.Word instance at 0x1137483b0>
 <__main__.Word instance at 0x113748248>
 <__main__.Word instance at 0x113748440>
 <__main__.Word instance at 0x113748320>]",Violet,4_0,True,,,&-um&-umokaylet'sseeIwantairbornesnakes,,,NaN,NaN
15,15,"[<__main__.Word instance at 0x113748518>
 <__main__.Word instance at 0x113748710>
 <__main__.Word instance at 0x1137487e8>
 <__main__.Word instance at 0x113748680>
 <__main__.Word instance at 0x113748a28>]",Violet,4_0,True,,,snakesarefunairbornesnakes,,,NaN,NaN
16,16,"[<__main__.Word instance at 0x113748ab8>
 <__main__.Word instance at 0x113748758>
 <__main__.Word instance at 0x113748b90>
 <__main__.Word instance at 0x113748830>
 <__main__.Word instance at 0x113748c20>]",Violet,4_0,False,False,"[['the', 'top'], ['mom'], ['you'], ['can']]",momcanyouthetop,youcanthetopmom,0.0416666666667,False,-0.04255961441879589
17,17,"[<__main__.Word instance at 0x113748dd0>
 <__main__.Word instance at 0x113748cb0>
 <__main__.Word instance at 0x113748ef0>
 <__main__.Word instance at 0x113748d40>
 <__main__.Word instance at 0x113748e60>
 <__main__.Word instance at 0x113748b00>
 <__main__.Word instance at 0x113748d88>]",Violet,4_0,True,,,canyoumomcanyouundothis,,,NaN,NaN
18,18,"[<__main__.Word instance at 0x11374b170>
 <__main__.Word instance at 0x11374b248>]",Violet,4_0,False,False,"[['you'], ['can']]",canyou,youcan,0.5,False,-0.6931471805599453
19,19,"[<__main__.Word instance at 0x11374b320>
 <__main__.Word instance at 0x11374b1b8>]",Violet,4_0,True,,,undothat,,,NaN,NaN
20,20,[<__main__.Word instance at 0x11374b290>],Violet,4_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
