,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x107177a70>],William,2_6,False,True,[['what']],what,what,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x107177cf8>],William,2_6,False,True,[['what']],what,what,1.0,False,-0.0
2,2,"[<__main__.Word instance at 0x107177758>
 <__main__.Word instance at 0x107177638>
 <__main__.Word instance at 0x107177f80>
 <__main__.Word instance at 0x1071774d0>
 <__main__.Word instance at 0x1071773f8>
 <__main__.Word instance at 0x107177878>
 <__main__.Word instance at 0x106fd2cf8>]",William,2_6,False,False,"[[""here's""], ['oh'], ['it'], ['is'], ['the'], ['racket'], ['here']]",ohhereitishere'stheracket,isitthehereohhere'sracket,0.000198412698413,False,-0.0001984323848162081
3,3,[<__main__.Word instance at 0x1071ae248>],William,2_6,False,True,[['kay']],kay,kay,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x1071ae3f8>
 <__main__.Word instance at 0x1071ae518>
 <__main__.Word instance at 0x1071ae5f0>]",William,2_6,False,False,"[['it'], ['go'], [""where'd""]]",where'ditgo,itgowhere'd,0.166666666667,False,-0.1823215567939546
5,5,[<__main__.Word instance at 0x1071ae7e8>],William,2_6,False,True,[['kay']],kay,kay,1.0,False,-0.0
6,6,"[<__main__.Word instance at 0x1071ae9e0>
 <__main__.Word instance at 0x1071aeb00>]",William,2_6,False,False,"[['ready'], ['kay']]",kayready,readykay,0.5,False,-0.6931471805599453
7,7,"[<__main__.Word instance at 0x1071aec20>
 <__main__.Word instance at 0x1071aecb0>
 <__main__.Word instance at 0x1071aecf8>]",William,2_6,False,False,"[['did'], ['it'], ['I']]",Ididit,diditI,0.166666666667,False,-0.1823215567939546
8,8,[<__main__.Word instance at 0x1071aeea8>],William,2_6,True,,,nicely,,,NaN,NaN
9,9,[<__main__.Word instance at 0x1071aef80>],William,2_6,False,True,[['okay']],okay,okay,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x106fde6c8>],William,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x106fde998>],William,2_6,True,,,whoops,,,NaN,NaN
12,12,"[<__main__.Word instance at 0x106fdec20>
 <__main__.Word instance at 0x106fde878>
 <__main__.Word instance at 0x106fe0a28>]",William,2_6,False,True,"[['do'], ['it'], [""I'll""]]",I'lldoit,I'lldoit,0.166666666667,False,1.791759469228055
13,13,"[<__main__.Word instance at 0x106fe0c20>
 <__main__.Word instance at 0x106fe0bd8>
 <__main__.Word instance at 0x11421b0e0>]",William,2_6,False,False,"[['it'], ['I'], ['do']]",Idoit,doitI,0.166666666667,False,-0.1823215567939546
14,14,"[<__main__.Word instance at 0x11421b290>
 <__main__.Word instance at 0x11421b368>]",William,2_6,False,False,"[['hit'], ['it']]",hitit,ithit,0.5,False,-0.6931471805599453
15,15,"[<__main__.Word instance at 0x11421b440>
 <__main__.Word instance at 0x11421b2d8>
 <__main__.Word instance at 0x11421b518>]",William,2_6,False,False,"[[""c'mon""], ['it'], [""let's""]]",let'sitc'mon,itc'monlet's,0.166666666667,False,-0.1823215567939546
16,16,[<__main__.Word instance at 0x11421b5f0>],William,2_6,False,True,[['no']],no,no,1.0,False,-0.0
17,17,"[<__main__.Word instance at 0x11421b710>
 <__main__.Word instance at 0x11421b638>]",William,2_6,False,True,"[['here'], ['down']]",downhere,downhere,0.5,False,0.6931471805599453
18,18,"[<__main__.Word instance at 0x11421b908>
 <__main__.Word instance at 0x11421b7e8>]",William,2_6,True,,,playinggolf,,,NaN,NaN
19,19,[<__main__.Word instance at 0x11421b128>],William,2_6,True,,,whoops,,,NaN,NaN
20,20,"[<__main__.Word instance at 0x11421b170>
 <__main__.Word instance at 0x11421bb48>
 <__main__.Word instance at 0x11421b950>]",William,2_6,True,,,playingtennisracket,,,NaN,NaN
21,21,"[<__main__.Word instance at 0x11421b8c0>
 <__main__.Word instance at 0x11421bcf8>]",William,2_6,True,,,playtennis,,,NaN,NaN
