,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x107902a70>
 <__main__.Word instance at 0x1079027a0>]",Naima,2_0,True,,,chickenstew,,,,NaN,NaN
1,1,"[<__main__.Word instance at 0x107902a28>
 <__main__.Word instance at 0x107902758>
 <__main__.Word instance at 0x1079028c0>
 <__main__.Word instance at 0x107902518>
 <__main__.Word instance at 0x1077695a8>]",Naima,2_0,False,False,"[['put'], ['you'], ['where'], ['it'], [""that's""]]",that'swhereyouputit,youputitwherethat's,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
2,2,"[<__main__.Word instance at 0x107769368>
 <__main__.Word instance at 0x107769b00>
 <__main__.Word instance at 0x1079390e0>
 <__main__.Word instance at 0x107939248>
 <__main__.Word instance at 0x1079392d8>
 <__main__.Word instance at 0x1079393f8>
 <__main__.Word instance at 0x107939518>]",Naima,2_0,False,False,"[['la'], ['moon'], ['to'], ['take', 'me'], ['the'], ['la']]",takemetothelalamoon,themoonlalatotakeme,0.00138888888889,-0.00138985428905,True,-0.002781642961876803
3,3,"[<__main__.Word instance at 0x107939758>
 <__main__.Word instance at 0x107939878>
 <__main__.Word instance at 0x107939998>
 <__main__.Word instance at 0x107939ab8>
 <__main__.Word instance at 0x107939bd8>]",Naima,2_0,False,False,"[['me'], ['me'], ['moon'], ['give'], ['sun']]",megivemesunmoon,mesunmemoongive,0.00833333333333,-0.00836824967052,True,-0.01680711831638129
4,4,[<__main__.Word instance at 0x107939e18>],Naima,2_0,False,True,[['jumping']],jumping,jumping,1.0,0.0,False,-0.0
5,5,"[<__main__.Word instance at 0x107939f80>
 <__main__.Word instance at 0x114ec8050>
 <__main__.Word instance at 0x114ec8128>
 <__main__.Word instance at 0x114ec81b8>
 <__main__.Word instance at 0x114ec82d8>
 <__main__.Word instance at 0x114ec8098>
 <__main__.Word instance at 0x114ec8488>
 <__main__.Word instance at 0x114ec83b0>
 <__main__.Word instance at 0x114ec8560>]",Naima,2_0,False,False,"[['la'], ['talk'], ['the'], ['la'], ['moon'], ['to'], ['take', 'me'], ['about']]",talkabouttakemetothelalamoon,themoontakemeabouttotalklala,2.48015873016e-05,-2.4801894866e-05,True,-4.9604404881379266e-05
6,6,"[<__main__.Word instance at 0x114ec8320>
 <__main__.Word instance at 0x114ec8710>
 <__main__.Word instance at 0x114ec85a8>
 <__main__.Word instance at 0x114ec87a0>
 <__main__.Word instance at 0x114ec8680>
 <__main__.Word instance at 0x114ec8878>]",Naima,2_0,False,False,"[['I'], ['as'], ['a', 'free', 'little', 'bird']]",afreelittlebirdasI,asafreelittlebirdI,0.166666666667,-0.182321556794,False,-0.1823215567939546
7,7,[<__main__.Word instance at 0x114ec8bd8>],Naima,2_0,False,True,[['chicken']],chicken,chicken,1.0,0.0,False,-0.0
8,8,"[<__main__.Word instance at 0x114ec8c20>
 <__main__.Word instance at 0x114ec8b48>
 <__main__.Word instance at 0x114ec8e18>
 <__main__.Word instance at 0x114ec8cb0>
 <__main__.Word instance at 0x114ec8ef0>
 <__main__.Word instance at 0x114ec8a70>
 <__main__.Word instance at 0x114ec8fc8>]",Naima,2_0,True,,,Ihaveasplashonmyleg,,,,NaN,NaN
9,9,"[<__main__.Word instance at 0x114ec8f38>
 <__main__.Word instance at 0x114ec84d0>
 <__main__.Word instance at 0x114ec8dd0>]",Naima,2_0,False,False,"[[""I'm""], ['done'], ['eating']]",I'mdoneeating,I'meatingdone,0.166666666667,-0.182321556794,False,-0.1823215567939546
10,10,[<__main__.Word instance at 0x114ecb1b8>],Naima,2_0,False,True,[['cold']],cold,cold,1.0,0.0,False,-0.0
11,11,"[<__main__.Word instance at 0x114ecb248>
 <__main__.Word instance at 0x114ecb440>
 <__main__.Word instance at 0x114ecb2d8>]",Naima,2_0,True,,,ragiscold,,,,NaN,NaN
12,12,[<__main__.Word instance at 0x114ecb5f0>],Naima,2_0,False,True,[['wet']],wet,wet,1.0,0.0,False,-0.0
13,13,"[<__main__.Word instance at 0x114ecb6c8>
 <__main__.Word instance at 0x114ecb560>]",Naima,2_0,False,True,"[['the', 'rag']]",therag,therag,1.0,0.0,False,-0.0
14,14,"[<__main__.Word instance at 0x114ecb638>
 <__main__.Word instance at 0x114ecb830>
 <__main__.Word instance at 0x114ecb710>
 <__main__.Word instance at 0x114ecb9e0>
 <__main__.Word instance at 0x114ecb8c0>]",Naima,2_0,False,False,"[['so'], ['the', 'rag'], ['to'], ['use']]",sousetheragto,theragusetoso,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
15,15,"[<__main__.Word instance at 0x114ecba70>
 <__main__.Word instance at 0x114ecbcb0>
 <__main__.Word instance at 0x114ecb998>
 <__main__.Word instance at 0x114ecbdd0>
 <__main__.Word instance at 0x114ecb128>
 <__main__.Word instance at 0x114ecbe60>
 <__main__.Word instance at 0x114ecbb00>
 <__main__.Word instance at 0x114ecbf38>]",Naima,2_0,True,,,Iwanttowashthedoggy'sspotsoff,,,,NaN,NaN
16,16,[<__main__.Word instance at 0x114ecbfc8>],Naima,2_0,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
17,17,"[<__main__.Word instance at 0x114ecf1b8>
 <__main__.Word instance at 0x114ecf098>
 <__main__.Word instance at 0x114ecf3b0>
 <__main__.Word instance at 0x114ecf248>
 <__main__.Word instance at 0x114ecf488>
 <__main__.Word instance at 0x114ecf170>
 <__main__.Word instance at 0x114ecf560>
 <__main__.Word instance at 0x114ecf3f8>
 <__main__.Word instance at 0x114ecf638>
 <__main__.Word instance at 0x114ecf4d0>]",Naima,2_0,False,False,"[['him'], ['on'], [""let's""], ['put'], ['the', 'wall'], ['spots', 'on'], ['those'], ['go']]",let'sgoputthosespotsonhimonthewall,thosegoonthewalllet'sputhimspotson,2.48015873016e-05,-2.4801894866e-05,False,-2.48018948660112e-05
18,18,[<__main__.Word instance at 0x114ecf710>],Naima,2_0,False,True,[['yes']],yes,yes,1.0,0.0,False,-0.0
19,19,"[<__main__.Word instance at 0x114ecf2d8>
 <__main__.Word instance at 0x114ecf998>
 <__main__.Word instance at 0x114ecf878>
 <__main__.Word instance at 0x114ecfb90>
 <__main__.Word instance at 0x114ecfa28>]",Naima,2_0,False,False,"[[""it's""], ['ready'], ['the', 'wall'], ['in']]",readyit'sinthewall,it'sinthewallready,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
20,20,"[<__main__.Word instance at 0x114ecf5a8>
 <__main__.Word instance at 0x114ecfcf8>
 <__main__.Word instance at 0x114ecf680>
 <__main__.Word instance at 0x114ecfef0>]",Naima,2_0,False,False,"[['the', 'wall'], ['at'], ['see']]",seeatthewall,seethewallat,0.166666666667,-0.182321556794,False,-0.1823215567939546
21,21,"[<__main__.Word instance at 0x114ecffc8>
 <__main__.Word instance at 0x114ecfb48>
 <__main__.Word instance at 0x114ecfea8>
 <__main__.Word instance at 0x114ecfe18>
 <__main__.Word instance at 0x114ecfbd8>
 <__main__.Word instance at 0x114ed21b8>
 <__main__.Word instance at 0x114ed20e0>]",Naima,2_0,True,,,badthatscratchoverthereinthe,,,,NaN,NaN
22,22,"[<__main__.Word instance at 0x114ed2320>
 <__main__.Word instance at 0x114ed2200>
 <__main__.Word instance at 0x114ed2440>
 <__main__.Word instance at 0x114ed24d0>]",Naima,2_0,False,False,"[['find'], ['can'], ['we'], ['them']]",wecanfindthem,canfindwethem,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
23,23,[<__main__.Word instance at 0x114ed2560>],Naima,2_0,True,,,librarians,,,,NaN,NaN
24,24,[<__main__.Word instance at 0x114ed2710>],Naima,2_0,False,True,[['no']],no,no,1.0,0.0,False,-0.0
25,25,[<__main__.Word instance at 0x114ed2638>],Naima,2_0,True,,,library,,,,NaN,NaN
26,26,[<__main__.Word instance at 0x114ed28c0>],Naima,2_0,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
27,27,[<__main__.Word instance at 0x114ed2998>],Naima,2_0,False,True,[['yeah']],yeah,yeah,1.0,0.0,False,-0.0
28,28,"[<__main__.Word instance at 0x114ed2b90>
 <__main__.Word instance at 0x114ed2d40>
 <__main__.Word instance at 0x114ed2050>
 <__main__.Word instance at 0x114ed2f38>
 <__main__.Word instance at 0x114ed2dd0>]",Naima,2_0,False,False,"[['at'], ['desk'], [""they're""], [""Mommy's""], ['no']]",nothey'reatMommy'sdesk,Mommy'snodeskatthey're,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
29,29,"[<__main__.Word instance at 0x114ed2f80>
 <__main__.Word instance at 0x114ed2830>
 <__main__.Word instance at 0x114ed2ef0>]",Naima,2_0,False,False,"[['get'], ['them'], ['out']]",getthemout,getoutthem,0.166666666667,-0.182321556794,False,-0.1823215567939546
30,30,"[<__main__.Word instance at 0x114ed5128>
 <__main__.Word instance at 0x114ed5200>]",Naima,2_0,False,True,"[['get'], ['out']]",getout,getout,0.5,0.69314718056,False,0.6931471805599453
31,31,[<__main__.Word instance at 0x114ed52d8>],Naima,2_0,False,True,[['out']],out,out,1.0,0.0,False,-0.0
