num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x10d178cf8>];Ethan;2_6;False;True;[['&-uh']];&-uh;&-uh;1.0;0.0
1;"[<__main__.Word instance at 0x10d184908>
 <__main__.Word instance at 0x10d184a28>
 <__main__.Word instance at 0x10d184368>]";Ethan;2_6;False;True;[['I', 'am'], ['there']];thereIam;thereIam;0.5;0.69314718056
2;"[<__main__.Word instance at 0x10d184b00>
 <__main__.Word instance at 0x11dbe5170>
 <__main__.Word instance at 0x11dbe52d8>
 <__main__.Word instance at 0x11dbe5368>
 <__main__.Word instance at 0x11dbe54d0>
 <__main__.Word instance at 0x11dbe5680>]";Ethan;2_6;False;False;[['bottom'], ['I'], ['of'], ['my'], ['see'], ['my']];Iseemybottomofmy;seeIofmybottommy;0.00138888888889;-0.00138985428905
3;"[<__main__.Word instance at 0x11dbe5a70>
 <__main__.Word instance at 0x11dbe5b48>
 <__main__.Word instance at 0x11dbe5bd8>]";Ethan;2_6;False;False;[['no'], ['no'], ['&-uh']];&-uhnono;nono&-uh;0.166666666667;-0.182321556794
4;"[<__main__.Word instance at 0x11dbe5e18>
 <__main__.Word instance at 0x11dbe5ea8>]";Ethan;2_6;False;True;[['no'], ['no']];nono;nono;0.5;0.69314718056
5;"[<__main__.Word instance at 0x11dbe5fc8>
 <__main__.Word instance at 0x10d1869e0>
 <__main__.Word instance at 0x10d186c20>]";Ethan;2_6;False;False;"[[""let's""], ['play'], ['with']]";let'splaywith;withplaylet's;0.166666666667;-0.182321556794
6;[<__main__.Word instance at 0x10d186bd8>];Ethan;2_6;False;True;[['no']];no;no;1.0;0.0
7;"[<__main__.Word instance at 0x10d31da70>
 <__main__.Word instance at 0x10d31d7a0>
 <__main__.Word instance at 0x10d31dcf8>
 <__main__.Word instance at 0x10d31da28>]";Ethan;2_6;False;False;"[['a'], [""it's""], ['no'], ['fountain']]";noit'safountain;anoit'sfountain;0.0416666666667;-0.0425596144188
8;[<__main__.Word instance at 0x10d31d3f8>];Ethan;2_6;False;True;[['no']];no;no;1.0;0.0
9;"[<__main__.Word instance at 0x11dbea290>
 <__main__.Word instance at 0x11dbea170>
 <__main__.Word instance at 0x11dbea320>
 <__main__.Word instance at 0x11dbea440>
 <__main__.Word instance at 0x11dbea560>
 <__main__.Word instance at 0x11dbea5f0>]";Ethan;2_6;False;False;"[['fountain'], ['a'], ['no'], [""it's""], ['the'], ['on']]";noit'saonthefountain;theonanoit'sfountain;0.00138888888889;-0.00138985428905
