,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10af97170>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
1,1,[<__main__.Word instance at 0x10af71a70>],Lily,4_0,False,True,[['&-uh']],&-uh,&-uh,1.0,False,-0.0
2,2,"[<__main__.Word instance at 0x10af71cf8>
 <__main__.Word instance at 0x10af71a28>
 <__main__.Word instance at 0x10af71758>]",Lily,4_0,False,False,"[['read'], ['&-uh'], ['read']]",&-uhreadread,read&-uhread,0.333333333333,True,-0.4054651081081643
3,3,[<__main__.Word instance at 0x10af71518>],Lily,4_0,False,True,[['Grandma']],Grandma,Grandma,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x10adda9e0>
 <__main__.Word instance at 0x117ba0170>
 <__main__.Word instance at 0x117ba0200>]",Lily,4_0,True,,,GrandmaandGrandpa,,,NaN,NaN
5,5,"[<__main__.Word instance at 0x117ba0440>
 <__main__.Word instance at 0x117ba0560>
 <__main__.Word instance at 0x117ba0680>
 <__main__.Word instance at 0x117ba07a0>
 <__main__.Word instance at 0x117ba08c0>]",Lily,4_0,True,,,andandGrandmaandPapa,,,NaN,NaN
6,6,[<__main__.Word instance at 0x117ba0b00>],Lily,4_0,False,True,[['what']],what,what,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x117ba0cf8>],Lily,4_0,False,True,[['when']],when,when,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x117ba0ef0>],Lily,4_0,False,True,[['oh']],oh,oh,1.0,False,-0.0
9,9,"[<__main__.Word instance at 0x10add85a8>
 <__main__.Word instance at 0x10add8a28>
 <__main__.Word instance at 0x10add8368>
 <__main__.Word instance at 0x10add8b00>
 <__main__.Word instance at 0x10add8c20>
 <__main__.Word instance at 0x10add8998>
 <__main__.Word instance at 0x117ba70e0>
 <__main__.Word instance at 0x117ba72d8>]",Lily,4_0,False,False,"[['was'], ['it'], ['it'], ['those'], ['I', 'think'], ['was'], ['&-um']]",itwas&-umIthinkitwasthose,itwas&-umwasitIthinkthose,0.000793650793651,True,-0.000793965901176512
10,10,[<__main__.Word instance at 0x117ba7440>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x117ba75a8>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x117ba7638>],Lily,4_0,False,True,[['okay']],okay,okay,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x117ba7710>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,False,-0.0
