,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x103d76170>
 <__main__.Word instance at 0x103d50560>]",Ethan,1_6,False,True,"[['off'], ['off']]",offoff,offoff,1.0,True,-0.0
1,1,"[<__main__.Word instance at 0x103d507a0>
 <__main__.Word instance at 0x103d50cf8>
 <__main__.Word instance at 0x103d50a28>
 <__main__.Word instance at 0x103d50758>]",Ethan,1_6,True,,,offowowow,,,NaN,NaN
2,2,[<__main__.Word instance at 0x103d50518>],Ethan,1_6,False,True,[['off']],off,off,1.0,False,-0.0
3,3,"[<__main__.Word instance at 0x103d508c0>
 <__main__.Word instance at 0x103d50878>]",Ethan,1_6,False,False,"[['backpack'], ['on']]",backpackon,onbackpack,0.5,False,-0.6931471805599453
4,4,"[<__main__.Word instance at 0x103d504d0>
 <__main__.Word instance at 0x103d50f80>]",Ethan,1_6,False,False,"[['backpack'], ['on']]",backpackon,onbackpack,0.5,False,-0.6931471805599453
5,5,"[<__main__.Word instance at 0x110b76170>
 <__main__.Word instance at 0x110b76200>]",Ethan,1_6,False,True,"[['off'], ['backpack']]",backpackoff,backpackoff,0.5,False,0.6931471805599453
6,6,"[<__main__.Word instance at 0x110b76440>
 <__main__.Word instance at 0x110b76518>]",Ethan,1_6,False,False,"[['backpack'], ['on']]",backpackon,onbackpack,0.5,False,-0.6931471805599453
7,7,"[<__main__.Word instance at 0x110b766c8>
 <__main__.Word instance at 0x110b76710>]",Ethan,1_6,False,True,"[['on'], ['microphone']]",microphoneon,microphoneon,0.5,False,0.6931471805599453
8,8,[<__main__.Word instance at 0x110b76878>],Ethan,1_6,False,True,[['microphone']],microphone,microphone,1.0,False,-0.0
9,9,"[<__main__.Word instance at 0x110b76950>
 <__main__.Word instance at 0x110b76a70>]",Ethan,1_6,False,True,"[['microphone'], ['microphone']]",microphonemicrophone,microphonemicrophone,1.0,True,-0.0
10,10,"[<__main__.Word instance at 0x110b76b90>
 <__main__.Word instance at 0x110b76c20>]",Ethan,1_6,False,True,"[['off'], ['off']]",offoff,offoff,1.0,True,-0.0
