,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x116675950>
 <__main__.Word instance at 0x116675ab8>
 <__main__.Word instance at 0x116675b48>
 <__main__.Word instance at 0x116675cb0>
 <__main__.Word instance at 0x116675e60>
 <__main__.Word instance at 0x116675f80>
 <__main__.Word instance at 0x108e5c560>
 <__main__.Word instance at 0x108e5ca70>
 <__main__.Word instance at 0x108e5c7a0>]",Naima,2_6,False,False,"[['want'], ['the', 'ship'], ['the', 'land'], ['do'], ['see'], ['why'], ['to']]",whydotheshipwanttoseetheland,dotoseewhythelandtheshipwant,0.000198412698413,False,-0.0001984323848162081
1,1,[<__main__.Word instance at 0x108e5ca28>],Naima,2_6,False,True,[['why']],why,why,1.0,False,-0.0
2,2,"[<__main__.Word instance at 0x108e5c8c0>
 <__main__.Word instance at 0x108e5c518>
 <__main__.Word instance at 0x108cb7cf8>
 <__main__.Word instance at 0x11667b0e0>
 <__main__.Word instance at 0x11667b200>
 <__main__.Word instance at 0x11667b320>
 <__main__.Word instance at 0x11667b440>
 <__main__.Word instance at 0x11667b560>
 <__main__.Word instance at 0x11667b680>
 <__main__.Word instance at 0x11667b758>]",Naima,2_6,False,False,"[['the'], ['why'], ['ships'], ['to'], ['do'], ['want'], ['do'], ['the', 'land'], ['see']]",whydodotheshipswanttoseetheland,dothetodothelandwantwhyseeships,5.5114638448e-06,True,-5.511479032926645e-06
3,3,[<__main__.Word instance at 0x11667b908>],Naima,2_6,False,True,[['why']],why,why,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x11667bab8>
 <__main__.Word instance at 0x11667b950>
 <__main__.Word instance at 0x11667bb90>
 <__main__.Word instance at 0x11667ba28>
 <__main__.Word instance at 0x11667bc68>
 <__main__.Word instance at 0x11667bb00>
 <__main__.Word instance at 0x11667bd40>
 <__main__.Word instance at 0x11667bbd8>]",Naima,2_6,False,False,"[['hear'], [""I'm""], ['the'], ['fog', 'horn'], ['ship'], ['a'], ['I']]",I'mashipIhearthefoghorn,thefoghornaIhearshipI'm,0.000198412698413,False,-0.0001984323848162081
5,5,[<__main__.Word instance at 0x11667bcb0>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
6,6,"[<__main__.Word instance at 0x11667bd88>
 <__main__.Word instance at 0x11667bf38>
 <__main__.Word instance at 0x108cc5a28>
 <__main__.Word instance at 0x108cc5c20>]",Naima,2_6,False,False,"[['a'], ['fog', 'horn'], [""Daddy's""]]",Daddy'safoghorn,afoghornDaddy's,0.166666666667,False,-0.1823215567939546
7,7,[<__main__.Word instance at 0x108cc5bd8>],Naima,2_6,False,True,[['why']],why,why,1.0,False,-0.0
8,8,"[<__main__.Word instance at 0x108cc3908>
 <__main__.Word instance at 0x108cc3998>
 <__main__.Word instance at 0x108cc3b48>
 <__main__.Word instance at 0x108cc3878>
 <__main__.Word instance at 0x1166800e0>]",Naima,2_6,False,True,"[['at'], ['the'], ['time'], ['spend'], ['Maine']]",spendthetimeatMaine,spendthetimeatMaine,0.00833333333333,False,4.787491742782046
9,9,"[<__main__.Word instance at 0x116680290>
 <__main__.Word instance at 0x116680170>
 <__main__.Word instance at 0x116680560>]",Naima,2_6,False,False,"[['and'], ['the', 'tape']]",andthetape,thetapeand,0.5,False,-0.6931471805599453
10,10,"[<__main__.Word instance at 0x116680638>
 <__main__.Word instance at 0x1166803b0>]",Naima,2_6,False,False,"[['no'], ['yeah']]",yeahno,noyeah,0.5,False,-0.6931471805599453
11,11,[<__main__.Word instance at 0x1166805a8>],Naima,2_6,False,True,[['no']],no,no,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x116680680>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x116680758>],Naima,2_6,False,True,[['no']],no,no,1.0,False,-0.0
14,14,"[<__main__.Word instance at 0x116680440>
 <__main__.Word instance at 0x116680a70>
 <__main__.Word instance at 0x116680b48>
 <__main__.Word instance at 0x1166809e0>
 <__main__.Word instance at 0x116680bd8>]",Naima,2_6,False,False,"[['the', 'water'], ['want'], ['I', ""don't""]]",Idon'twantthewater,wantthewaterIdon't,0.166666666667,False,-0.1823215567939546
15,15,"[<__main__.Word instance at 0x116680dd0>
 <__main__.Word instance at 0x116680cb0>]",Naima,2_6,False,True,"[['gonna'], [""I'm""]]",I'mgonna,I'mgonna,0.5,False,0.6931471805599453
16,16,"[<__main__.Word instance at 0x116680320>
 <__main__.Word instance at 0x116680f38>]",Naima,2_6,False,True,"[['to', 'Dad']]",toDad,toDad,1.0,False,-0.0
17,17,[<__main__.Word instance at 0x116680d88>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
18,18,"[<__main__.Word instance at 0x116683170>
 <__main__.Word instance at 0x116683050>
 <__main__.Word instance at 0x116683200>]",Naima,2_6,False,False,"[[""what's""], ['that'], ['pose']]",what'sthatpose,thatposewhat's,0.166666666667,False,-0.1823215567939546
19,19,[<__main__.Word instance at 0x116683128>],Naima,2_6,False,True,[['why']],why,why,1.0,False,-0.0
20,20,"[<__main__.Word instance at 0x1166833f8>
 <__main__.Word instance at 0x1166835a8>
 <__main__.Word instance at 0x116683368>
 <__main__.Word instance at 0x116683758>
 <__main__.Word instance at 0x116683680>
 <__main__.Word instance at 0x116683908>]",Naima,2_6,False,False,"[['library'], ['a'], ['good'], ['read'], ['tonight'], ['book']]",readagoodlibrarybooktonight,goodbooktonightreadalibrary,0.00138888888889,False,-0.0013898542890543016
21,21,"[<__main__.Word instance at 0x1166839e0>
 <__main__.Word instance at 0x116683638>
 <__main__.Word instance at 0x116683a70>
 <__main__.Word instance at 0x116683950>]",Naima,2_6,False,False,"[['this'], ['and', 'then'], ['this']]",thisandthenthis,thisthisandthen,0.333333333333,True,-0.4054651081081643
22,22,"[<__main__.Word instance at 0x1166837a0>
 <__main__.Word instance at 0x116683c20>]",Naima,2_6,False,False,"[['this'], ['then']]",thenthis,thisthen,0.5,False,-0.6931471805599453
23,23,"[<__main__.Word instance at 0x116683e60>
 <__main__.Word instance at 0x116683fc8>
 <__main__.Word instance at 0x116683cb0>
 <__main__.Word instance at 0x116686170>
 <__main__.Word instance at 0x116686200>]",Naima,2_6,False,False,"[['this'], ['then'], ['this'], ['and', 'then']]",thenthisandthenthis,thisandthenthenthis,0.0833333333333,True,-0.08701137698962981
24,24,"[<__main__.Word instance at 0x116686440>
 <__main__.Word instance at 0x1166865a8>]",Naima,2_6,False,False,"[['then'], ['this']]",thenthis,thisthen,0.5,False,-0.6931471805599453
25,25,[<__main__.Word instance at 0x1166867a0>],Naima,2_6,False,True,[['this']],this,this,1.0,False,-0.0
26,26,[<__main__.Word instance at 0x116686830>],Naima,2_6,False,True,[['this']],this,this,1.0,False,-0.0
27,27,"[<__main__.Word instance at 0x1166869e0>
 <__main__.Word instance at 0x1166868c0>]",Naima,2_6,False,False,"[['and'], ['this']]",andthis,thisand,0.5,False,-0.6931471805599453
28,28,"[<__main__.Word instance at 0x116686998>
 <__main__.Word instance at 0x116686dd0>
 <__main__.Word instance at 0x116686c68>
 <__main__.Word instance at 0x116686ef0>
 <__main__.Word instance at 0x116686ab8>
 <__main__.Word instance at 0x116686fc8>
 <__main__.Word instance at 0x116686e60>
 <__main__.Word instance at 0x116686f38>
 <__main__.Word instance at 0x116686128>]",Naima,2_6,False,False,"[['favorite'], ['this'], ['this'], ['this'], ['is'], ['my'], ['and'], ['and'], ['and']]",andthisthisthisismyfavoriteandand,isthisandthisandthisandfavoritemy,9.92063492063e-05,True,-9.921127048169414e-05
29,29,[<__main__.Word instance at 0x1166893b0>],Naima,2_6,False,True,[['this']],this,this,1.0,False,-0.0
30,30,"[<__main__.Word instance at 0x116689488>
 <__main__.Word instance at 0x116689200>
 <__main__.Word instance at 0x116689560>]",Naima,2_6,False,True,"[['Mommy'], ['want'], ['I']]",IwantMommy,IwantMommy,0.166666666667,False,1.791759469228055
31,31,"[<__main__.Word instance at 0x116689638>
 <__main__.Word instance at 0x1166894d0>]",Naima,2_6,False,False,"[[""it's""], ['like']]",it'slike,likeit's,0.5,False,-0.6931471805599453
32,32,[<__main__.Word instance at 0x1166895a8>],Naima,2_6,False,True,[['this']],this,this,1.0,False,-0.0
33,33,"[<__main__.Word instance at 0x116689680>
 <__main__.Word instance at 0x116689b90>]",Naima,2_6,False,False,"[['this'], ['and']]",andthis,thisand,0.5,False,-0.6931471805599453
34,34,"[<__main__.Word instance at 0x116689c68>
 <__main__.Word instance at 0x116689830>]",Naima,2_6,False,True,"[['and'], ['spots']]",andspots,andspots,0.5,False,0.6931471805599453
35,35,"[<__main__.Word instance at 0x116689bd8>
 <__main__.Word instance at 0x116689dd0>
 <__main__.Word instance at 0x116689cb0>
 <__main__.Word instance at 0x116689ef0>
 <__main__.Word instance at 0x116689a28>
 <__main__.Word instance at 0x116689fc8>
 <__main__.Word instance at 0x116689f38>
 <__main__.Word instance at 0x11668d098>]",Naima,2_6,False,False,"[['I'], ['like'], ['I'], ['would'], ['bears'], ['book'], ['this'], ['love']]",IwouldlovethisbookIlikebears,wouldlovethisbookIlikebearsI,4.96031746032e-05,True,-4.9604404881379266e-05
36,36,"[<__main__.Word instance at 0x11668d1b8>
 <__main__.Word instance at 0x11668d7e8>
 <__main__.Word instance at 0x11668d680>
 <__main__.Word instance at 0x11668d908>
 <__main__.Word instance at 0x11668d170>
 <__main__.Word instance at 0x11668d998>
 <__main__.Word instance at 0x11668d878>
 <__main__.Word instance at 0x11668db90>]",Naima,2_6,False,False,"[[""Dad's""], ['to', 'stay', 'away'], ['Dad'], ['fog', 'horn'], ['a']]",tostayawayDadDad'safoghorn,afoghornDadtostayawayDad's,0.00833333333333,False,-0.00836824967051658
37,37,"[<__main__.Word instance at 0x11668dc20>
 <__main__.Word instance at 0x11668d7a0>
 <__main__.Word instance at 0x11668df80>
 <__main__.Word instance at 0x11668de60>
 <__main__.Word instance at 0x11668dd88>
 <__main__.Word instance at 0x11668dfc8>
 <__main__.Word instance at 0x116690098>]",Naima,2_6,False,False,"[['a'], ['ships'], ['tell'], [""Dad's""], ['the'], ['fog', 'horn']]",Dad'safoghorntelltheships,thefoghornaDad'stellships,0.00138888888889,False,-0.0013898542890543016
38,38,"[<__main__.Word instance at 0x116690248>
 <__main__.Word instance at 0x1166900e0>]",Naima,2_6,False,False,"[['read'], ['yes']]",yesread,readyes,0.5,False,-0.6931471805599453
39,39,[<__main__.Word instance at 0x1166901b8>],Naima,2_6,False,True,[['and']],and,and,1.0,False,-0.0
40,40,"[<__main__.Word instance at 0x116690440>
 <__main__.Word instance at 0x116690680>
 <__main__.Word instance at 0x116690488>
 <__main__.Word instance at 0x116690950>]",Naima,2_6,False,False,"[['and'], ['I'], ['want'], ['and']]",andandIwant,andIwantand,0.0833333333333,True,-0.08701137698962981
41,41,"[<__main__.Word instance at 0x116690b00>
 <__main__.Word instance at 0x1166909e0>
 <__main__.Word instance at 0x116690cb0>
 <__main__.Word instance at 0x116690b90>
 <__main__.Word instance at 0x116690d88>]",Naima,2_6,False,False,"[['and'], ['the'], ['Spot'], ['after'], ['that']]",andtheSpotafterthat,thatafterandtheSpot,0.00833333333333,False,-0.00836824967051658
42,42,"[<__main__.Word instance at 0x116690e60>
 <__main__.Word instance at 0x116690cf8>
 <__main__.Word instance at 0x116690ef0>
 <__main__.Word instance at 0x116690dd0>
 <__main__.Word instance at 0x116690ab8>
 <__main__.Word instance at 0x116690b48>]",Naima,2_6,False,False,"[['it'], ['in'], ['flaps'], ['and'], ['has'], ['this']]",andthishasflapsinit,thishasitinandflaps,0.00138888888889,False,-0.0013898542890543016
43,43,"[<__main__.Word instance at 0x116693170>
 <__main__.Word instance at 0x116693098>
 <__main__.Word instance at 0x1166932d8>
 <__main__.Word instance at 0x116693320>
 <__main__.Word instance at 0x116693248>
 <__main__.Word instance at 0x116693518>
 <__main__.Word instance at 0x1166933b0>
 <__main__.Word instance at 0x1166935a8>
 <__main__.Word instance at 0x116693050>
 <__main__.Word instance at 0x1166937a0>]",Naima,2_6,False,False,"[['book'], ['this'], ['to'], ['circus'], ['flap'], ['this'], ['the'], ['is'], ['go'], ['Spot']]",thisthisisflapbookSpotgotothecircus,istheflapbooktogoSpotthisthiscircus,5.5114638448e-07,True,-5.511465364121339e-07
44,44,"[<__main__.Word instance at 0x116693878>
 <__main__.Word instance at 0x1166934d0>
 <__main__.Word instance at 0x116693a28>
 <__main__.Word instance at 0x116693908>
 <__main__.Word instance at 0x116693c68>
 <__main__.Word instance at 0x116693b00>]",Naima,2_6,False,False,"[['I'], ['cause'], ['like', 'flaps'], ['I'], ['do']]",IdocauseIlikeflaps,doIIcauselikeflaps,0.0166666666667,True,-0.01680711831638129
45,45,"[<__main__.Word instance at 0x116693b90>
 <__main__.Word instance at 0x116693ea8>
 <__main__.Word instance at 0x116693dd0>
 <__main__.Word instance at 0x116693f38>
 <__main__.Word instance at 0x116696098>
 <__main__.Word instance at 0x1166963b0>]",Naima,2_6,False,False,"[['on'], ['I', ""don't""], ['the', 'backpack'], ['want']]",Idon'twantthebackpackon,thebackpackIdon'tonwant,0.0416666666667,False,-0.04255961441879589
46,46,"[<__main__.Word instance at 0x116696440>
 <__main__.Word instance at 0x116696200>]",Naima,2_6,False,False,"[['this'], ['read']]",readthis,thisread,0.5,False,-0.6931471805599453
47,47,"[<__main__.Word instance at 0x1166964d0>
 <__main__.Word instance at 0x116696830>
 <__main__.Word instance at 0x1166966c8>]",Naima,2_6,False,False,"[['and'], ['for'], ['this']]",andforthis,thisforand,0.166666666667,False,-0.1823215567939546
48,48,[<__main__.Word instance at 0x1166965a8>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
49,49,"[<__main__.Word instance at 0x116696950>
 <__main__.Word instance at 0x116696bd8>
 <__main__.Word instance at 0x1166967e8>]",Naima,2_6,False,False,"[['this'], ['gonna'], ['read']]",gonnareadthis,thisgonnaread,0.166666666667,False,-0.1823215567939546
50,50,"[<__main__.Word instance at 0x116696b48>
 <__main__.Word instance at 0x116696e60>
 <__main__.Word instance at 0x116696cf8>
 <__main__.Word instance at 0x116696f38>]",Naima,2_6,False,False,"[['one'], ['one'], ['this'], ['this']]",thisonethisone,thisoneonethis,0.166666666667,True,-0.1823215567939546
51,51,[<__main__.Word instance at 0x116696fc8>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
52,52,"[<__main__.Word instance at 0x116696e18>
 <__main__.Word instance at 0x116699200>
 <__main__.Word instance at 0x116699098>
 <__main__.Word instance at 0x1166992d8>]",Naima,2_6,False,False,"[['two'], ['Heather'], ['mommies'], ['has']]",Heatherhastwomommies,twohasmommiesHeather,0.0416666666667,False,-0.04255961441879589
53,53,"[<__main__.Word instance at 0x116699248>
 <__main__.Word instance at 0x116699440>]",Naima,2_6,False,True,"[['the', 'library']]",thelibrary,thelibrary,1.0,False,-0.0
54,54,[<__main__.Word instance at 0x116699710>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
55,55,"[<__main__.Word instance at 0x1166997a0>
 <__main__.Word instance at 0x116699518>
 <__main__.Word instance at 0x116699878>
 <__main__.Word instance at 0x1166995a8>]",Naima,2_6,False,False,"[[""I'm""], ['little'], ['a', 'sweet']]",I'masweetlittle,littleI'masweet,0.166666666667,False,-0.1823215567939546
56,56,"[<__main__.Word instance at 0x116699950>
 <__main__.Word instance at 0x116699c20>
 <__main__.Word instance at 0x116699b00>
 <__main__.Word instance at 0x116699dd0>
 <__main__.Word instance at 0x116699cb0>
 <__main__.Word instance at 0x116699ea8>]",Naima,2_6,False,False,"[[""I'm""], ['mommy'], ['little'], ['yeah'], ['a', 'sweet']]",yeahI'masweetlittlemommy,littleasweetI'mmommyyeah,0.00833333333333,False,-0.00836824967051658
57,57,"[<__main__.Word instance at 0x116699f80>
 <__main__.Word instance at 0x116699e18>]",Naima,2_6,False,False,"[['a'], [""I'm""]]",I'ma,aI'm,0.5,False,-0.6931471805599453
58,58,"[<__main__.Word instance at 0x116699c68>
 <__main__.Word instance at 0x1166995f0>
 <__main__.Word instance at 0x11669c050>]",Naima,2_6,False,False,"[[""I'm""], ['warm'], ['getting']]",I'mgettingwarm,gettingI'mwarm,0.166666666667,False,-0.1823215567939546
59,59,"[<__main__.Word instance at 0x11669c200>
 <__main__.Word instance at 0x11669c3b0>]",Naima,2_6,False,True,"[['I'], ['go']]",Igo,Igo,0.5,False,0.6931471805599453
60,60,"[<__main__.Word instance at 0x11669c4d0>
 <__main__.Word instance at 0x11669c5a8>
 <__main__.Word instance at 0x11669c710>
 <__main__.Word instance at 0x11669c638>
 <__main__.Word instance at 0x11669c7e8>
 <__main__.Word instance at 0x11669c488>]",Naima,2_6,False,False,"[['drop'], ['nursie'], ['me'], ['my'], ['off'], ['nursie']]",mynursienursiedropmeoff,nursienursiemymeoffdrop,0.00277777777778,True,-0.002781642961876803
61,61,"[<__main__.Word instance at 0x11669c950>
 <__main__.Word instance at 0x11669cc20>
 <__main__.Word instance at 0x11669cb48>
 <__main__.Word instance at 0x11669cd40>
 <__main__.Word instance at 0x11669c878>
 <__main__.Word instance at 0x11669cdd0>
 <__main__.Word instance at 0x11669c560>
 <__main__.Word instance at 0x11669cf80>]",Naima,2_6,False,False,"[['nursie'], ['me'], ['the', 'house'], ['at'], ['my'], ['drops'], ['off']]",mynursiedropsmeoffatthehouse,nursieoffdropsmyatthehouseme,0.000198412698413,False,-0.0001984323848162081
62,62,[<__main__.Word instance at 0x11669f170>],Naima,2_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
63,63,"[<__main__.Word instance at 0x11669f248>
 <__main__.Word instance at 0x11669f050>
 <__main__.Word instance at 0x11669f3f8>
 <__main__.Word instance at 0x11669f2d8>]",Naima,2_6,False,False,"[['my'], ['want'], ['I'], ['pajamas']]",Iwantmypajamas,mypajamasIwant,0.0416666666667,False,-0.04255961441879589
64,64,"[<__main__.Word instance at 0x11669f488>
 <__main__.Word instance at 0x11669f758>
 <__main__.Word instance at 0x11669f638>
 <__main__.Word instance at 0x11669fa70>]",Naima,2_6,False,False,"[['pajamas'], ['want'], ['nursie'], ['I']]",Iwantnursiepajamas,nursiepajamaswantI,0.0416666666667,False,-0.04255961441879589
65,65,"[<__main__.Word instance at 0x11669fc68>
 <__main__.Word instance at 0x11669fb90>
 <__main__.Word instance at 0x11669fdd0>
 <__main__.Word instance at 0x11669fb00>
 <__main__.Word instance at 0x11669fe18>]",Naima,2_6,False,False,"[['have'], ['do'], ['nursie'], ['I'], ['I']]",IdoIhavenursie,nursieIhavedoI,0.0166666666667,True,-0.01680711831638129
