,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x111ff3878>
 <__main__.Word instance at 0x111ff39e0>]",Alex,3_0,False,True,"[['hey'], ['hey']]",heyhey,heyhey,1.0,True,-0.0
1,1,[<__main__.Word instance at 0x111ff3b90>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x111ff3dd0>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x111ff3f80>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x1051bf560>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x1051bf7a0>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
6,6,[<__main__.Word instance at 0x1051bfa28>],Alex,3_0,False,True,[['broke']],broke,broke,1.0,False,-0.0
7,7,[<__main__.Word instance at 0x1051bf8c0>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
8,8,[<__main__.Word instance at 0x1051bf440>],Alex,3_0,False,True,[['nope']],nope,nope,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x1051bf3f8>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x1051bf4d0>],Alex,3_0,False,True,[['no']],no,no,1.0,False,-0.0
11,11,"[<__main__.Word instance at 0x1050265a8>
 <__main__.Word instance at 0x105026a28>]",Alex,3_0,False,True,"[['no'], ['no']]",nono,nono,1.0,True,-0.0
12,12,"[<__main__.Word instance at 0x105026368>
 <__main__.Word instance at 0x105026878>
 <__main__.Word instance at 0x105026b00>]",Alex,3_0,False,False,"[['no'], ['play'], ['me']]",nomeplay,meplayno,0.166666666667,False,-0.1823215567939546
13,13,[<__main__.Word instance at 0x105026b48>],Alex,3_0,False,True,[['Mommy']],Mommy,Mommy,1.0,False,-0.0
14,14,"[<__main__.Word instance at 0x111ff9128>
 <__main__.Word instance at 0x111ff91b8>
 <__main__.Word instance at 0x111ff9248>]",Alex,3_0,False,True,"[['you'], ['Mommy'], ['Mommy']]",youMommyMommy,youMommyMommy,0.333333333333,True,1.0986122886681098
