,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x1159c1a70>],Violet,2_0,False,True,[['back']],back,back,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x1159c1c68>
 <__main__.Word instance at 0x1159c1dd0>]",Violet,2_0,False,False,"[['itch'], ['back']]",backitch,itchback,0.5,False,-0.6931471805599453
2,2,"[<__main__.Word instance at 0x107706cf8>
 <__main__.Word instance at 0x1078ab560>
 <__main__.Word instance at 0x1078aba70>]",Violet,2_0,False,False,"[['is'], ['back'], ['nice']]",backisnice,nicebackis,0.166666666667,False,-0.1823215567939546
3,3,[<__main__.Word instance at 0x1078abcf8>],Violet,2_0,False,True,[['back']],back,back,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x1078ab758>],Violet,2_0,False,True,[['back']],back,back,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x1078ab9e0>],Violet,2_0,False,True,[['nose']],nose,nose,1.0,False,-0.0
6,6,"[<__main__.Word instance at 0x1078ab518>
 <__main__.Word instance at 0x1078ab4d0>
 <__main__.Word instance at 0x1078ab488>]",Violet,2_0,False,False,"[['how', 'about'], ['this']]",howaboutthis,thishowabout,0.5,False,-0.6931471805599453
7,7,"[<__main__.Word instance at 0x1078ab440>
 <__main__.Word instance at 0x1078abf80>
 <__main__.Word instance at 0x1077126c8>]",Violet,2_0,False,False,"[['this'], ['how', 'about']]",howaboutthis,thishowabout,0.5,False,-0.6931471805599453
8,8,"[<__main__.Word instance at 0x107712a28>
 <__main__.Word instance at 0x107712908>
 <__main__.Word instance at 0x107712368>
 <__main__.Word instance at 0x107712878>
 <__main__.Word instance at 0x107712b00>]",Violet,2_0,False,False,"[['one'], ['this'], ['rea'], ['how', 'about']]",howaboutreathisone,thisonehowaboutrea,0.0416666666667,False,-0.04255961441879589
9,9,[<__main__.Word instance at 0x107712998>],Violet,2_0,False,True,[['rhino']],rhino,rhino,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x1159c71b8>],Violet,2_0,False,True,[['no']],no,no,1.0,False,-0.0
11,11,"[<__main__.Word instance at 0x1159c72d8>
 <__main__.Word instance at 0x1159c7368>
 <__main__.Word instance at 0x1159c73f8>
 <__main__.Word instance at 0x1159c7488>
 <__main__.Word instance at 0x1159c7518>]",Violet,2_0,False,False,"[['one'], ['read', 'this'], ['I', ""don't""]]",Idon'treadthisone,onereadthisIdon't,0.166666666667,False,-0.1823215567939546
12,12,[<__main__.Word instance at 0x1159c7638>],Violet,2_0,False,True,[['apple']],apple,apple,1.0,False,-0.0
