,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x118004200>
 <__main__.Word instance at 0x118004368>
 <__main__.Word instance at 0x1180043f8>
 <__main__.Word instance at 0x118004560>]",Violet,2_6,False,False,"[['can'], ['see'], ['I'], ['it']]",canIseeit,seeitcanI,0.0416666666667,False,-0.04255961441879589
1,1,[<__main__.Word instance at 0x1180047e8>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
2,2,[<__main__.Word instance at 0x118004998>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
3,3,[<__main__.Word instance at 0x118004ab8>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
4,4,"[<__main__.Word instance at 0x118004bd8>
 <__main__.Word instance at 0x118004c68>
 <__main__.Word instance at 0x118004cf8>
 <__main__.Word instance at 0x118004d88>
 <__main__.Word instance at 0x118004e18>]",Violet,2_6,False,False,"[['too'], ['see'], ['the'], ['wanna'], ['I']]",Iwannaseethetoo,seethetoowannaI,0.00833333333333,False,-0.00836824967051658
5,5,"[<__main__.Word instance at 0x118004f38>
 <__main__.Word instance at 0x118004fc8>
 <__main__.Word instance at 0x108eddcf8>
 <__main__.Word instance at 0x109082560>]",Violet,2_6,False,False,"[['this'], ['march'], ['go'], [""let's""]]",let'sgomarchthis,gomarchthislet's,0.0416666666667,False,-0.04255961441879589
6,6,"[<__main__.Word instance at 0x1090827a0>
 <__main__.Word instance at 0x109082cf8>
 <__main__.Word instance at 0x109082a28>
 <__main__.Word instance at 0x109082758>]",Violet,2_6,False,False,"[['look'], ['brought'], ['we'], ['today']]",lookwebroughttoday,welooktodaybrought,0.0416666666667,False,-0.04255961441879589
7,7,"[<__main__.Word instance at 0x1090829e0>
 <__main__.Word instance at 0x109082680>
 <__main__.Word instance at 0x109082518>
 <__main__.Word instance at 0x1090824d0>]",Violet,2_6,False,True,"[['bring'], ['can'], ['my'], ['we']]",wecanbringmy,wecanbringmy,0.0416666666667,False,3.1780538303479458
8,8,"[<__main__.Word instance at 0x1090823f8>
 <__main__.Word instance at 0x109082440>
 <__main__.Word instance at 0x109082f80>]",Violet,2_6,False,False,"[['mouse', 'club'], ['mickey']]",mickeymouseclub,mouseclubmickey,0.5,False,-0.6931471805599453
9,9,[<__main__.Word instance at 0x108ee95a8>],Violet,2_6,False,True,[['blanket']],blanket,blanket,1.0,False,-0.0
10,10,"[<__main__.Word instance at 0x108ee9908>
 <__main__.Word instance at 0x108ee9368>
 <__main__.Word instance at 0x108ee9878>
 <__main__.Word instance at 0x108ee9b00>
 <__main__.Word instance at 0x108ee9b48>
 <__main__.Word instance at 0x108ee9998>
 <__main__.Word instance at 0x108eebc68>]",Violet,2_6,False,False,"[['bring'], ['my'], ['mickey'], ['blanket'], ['mouse'], ['can'], ['we']]",wecanbringmymickeymouseblanket,wecanbringmymickeyblanketmouse,0.000198412698413,False,-0.0001984323848162081
11,11,[<__main__.Word instance at 0x108eebc20>],Violet,2_6,False,True,[['blanket']],blanket,blanket,1.0,False,-0.0
12,12,"[<__main__.Word instance at 0x108eebab8>
 <__main__.Word instance at 0x11800a098>
 <__main__.Word instance at 0x11800a128>
 <__main__.Word instance at 0x11800a170>
 <__main__.Word instance at 0x11800a290>]",Violet,2_6,False,False,"[['sitting'], [""I'm""], ['mom'], ['right'], ['here']]",momI'msittingrighthere,hererightI'msittingmom,0.00833333333333,False,-0.00836824967051658
13,13,[<__main__.Word instance at 0x11800a3f8>],Violet,2_6,False,True,[['no']],no,no,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x11800a518>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x11800a6c8>],Violet,2_6,False,True,[['no']],no,no,1.0,False,-0.0
16,16,"[<__main__.Word instance at 0x11800a638>
 <__main__.Word instance at 0x11800a878>
 <__main__.Word instance at 0x11800a560>
 <__main__.Word instance at 0x11800a950>]",Violet,2_6,False,False,"[['it'], ['remember'], ['I', ""don't""]]",Idon'trememberit,itIdon'tremember,0.166666666667,False,-0.1823215567939546
17,17,"[<__main__.Word instance at 0x11800a9e0>
 <__main__.Word instance at 0x11800a8c0>
 <__main__.Word instance at 0x11800abd8>
 <__main__.Word instance at 0x11800aab8>
 <__main__.Word instance at 0x11800acb0>]",Violet,2_6,False,False,"[['itsy', 'bitsy'], ['I'], ['wanna', 'read']]",Iwannareaditsybitsy,Iitsybitsywannaread,0.166666666667,False,-0.1823215567939546
18,18,"[<__main__.Word instance at 0x11800ac20>
 <__main__.Word instance at 0x11800afc8>
 <__main__.Word instance at 0x11800ab90>
 <__main__.Word instance at 0x11800acf8>
 <__main__.Word instance at 0x11800add0>
 <__main__.Word instance at 0x11800af38>
 <__main__.Word instance at 0x11800e098>]",Violet,2_6,False,False,"[['itsy', 'bitsy'], ['yeah'], ['rather'], [""I'd""], ['spider'], ['read']]",yeahI'dratherreaditsybitsyspider,spiderreadI'dratheryeahitsybitsy,0.00138888888889,False,-0.0013898542890543016
19,19,"[<__main__.Word instance at 0x11800e200>
 <__main__.Word instance at 0x11800e3b0>
 <__main__.Word instance at 0x11800e290>]",Violet,2_6,False,False,"[['itsy', 'bitsy'], ['spout']]",itsybitsyspout,spoutitsybitsy,0.5,False,-0.6931471805599453
20,20,"[<__main__.Word instance at 0x11800e320>
 <__main__.Word instance at 0x11800e638>
 <__main__.Word instance at 0x11800e440>
 <__main__.Word instance at 0x11800e710>]",Violet,2_6,False,False,"[['out'], ['down'], ['came'], ['the']]",downcametheout,theoutcamedown,0.0416666666667,False,-0.04255961441879589
21,21,"[<__main__.Word instance at 0x11800e7e8>
 <__main__.Word instance at 0x11800e680>
 <__main__.Word instance at 0x11800e8c0>]",Violet,2_6,False,False,"[['came'], ['the', 'sun']]",camethesun,thesuncame,0.5,False,-0.6931471805599453
22,22,"[<__main__.Word instance at 0x11800e998>
 <__main__.Word instance at 0x11800e830>
 <__main__.Word instance at 0x11800eab8>
 <__main__.Word instance at 0x11800e368>
 <__main__.Word instance at 0x11800ec68>]",Violet,2_6,False,False,"[['and', 'then'], ['again'], ['start'], ['we']]",andthenwestartagain,westartagainandthen,0.0416666666667,False,-0.04255961441879589
23,23,"[<__main__.Word instance at 0x11800ed40>
 <__main__.Word instance at 0x11800e9e0>
 <__main__.Word instance at 0x11800edd0>
 <__main__.Word instance at 0x11800ecb0>
 <__main__.Word instance at 0x11800efc8>]",Violet,2_6,False,False,"[['I'], ['this', 'one'], ['but'], ['have']]",butIhavethisone,havethisonebutI,0.0416666666667,False,-0.04255961441879589
24,24,"[<__main__.Word instance at 0x11800ec20>
 <__main__.Word instance at 0x118011200>
 <__main__.Word instance at 0x118011128>
 <__main__.Word instance at 0x118011290>
 <__main__.Word instance at 0x118011050>
 <__main__.Word instance at 0x118011320>]",Violet,2_6,False,False,"[['now'], ['you', ""don't""], ['count'], ['this', 'one']]",nowyoudon'tcountthisone,countnowthisoneyoudon't,0.0416666666667,False,-0.04255961441879589
25,25,"[<__main__.Word instance at 0x1180114d0>
 <__main__.Word instance at 0x118011710>]",Violet,2_6,False,True,"[['it'], ['count']]",countit,countit,0.5,False,0.6931471805599453
26,26,[<__main__.Word instance at 0x118011b90>],Violet,2_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
27,27,[<__main__.Word instance at 0x118011c20>],Violet,2_6,False,True,[['in']],in,in,1.0,False,-0.0
28,28,[<__main__.Word instance at 0x118011e18>],Violet,2_6,False,True,[['one']],one,one,1.0,False,-0.0
29,29,"[<__main__.Word instance at 0x118011ef0>
 <__main__.Word instance at 0x118011a28>
 <__main__.Word instance at 0x118011f80>]",Violet,2_6,False,False,"[['this', 'one'], ['two']]",thisonetwo,twothisone,0.5,False,-0.6931471805599453
30,30,"[<__main__.Word instance at 0x1180140e0>
 <__main__.Word instance at 0x1180142d8>]",Violet,2_6,False,True,"[['this', 'one']]",thisone,thisone,1.0,False,-0.0
31,31,"[<__main__.Word instance at 0x1180144d0>
 <__main__.Word instance at 0x118014368>]",Violet,2_6,False,True,"[['this', 'one']]",thisone,thisone,1.0,False,-0.0
32,32,"[<__main__.Word instance at 0x118014290>
 <__main__.Word instance at 0x118014758>
 <__main__.Word instance at 0x1180145f0>
 <__main__.Word instance at 0x118014830>
 <__main__.Word instance at 0x118014488>
 <__main__.Word instance at 0x118014a28>]",Violet,2_6,False,False,"[['the'], ['and'], ['brother'], ['this', 'is'], ['one']]",andthisisthebrotherone,onethisisbrotherandthe,0.00833333333333,False,-0.00836824967051658
