num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x110aa9560>];Ethan;3_0;False;True;[['this']];this;this;1.0;0.0
1;"[<__main__.Word instance at 0x110aa97a0>
 <__main__.Word instance at 0x110aa9cf8>
 <__main__.Word instance at 0x110aa9a28>
 <__main__.Word instance at 0x110aa9758>]";Ethan;3_0;False;True;[['have'], ['backpack'], ['I'], ['on']];Ihavebackpackon;Ihavebackpackon;0.0416666666667;3.17805383035
2;[<__main__.Word instance at 0x110aa9f80>];Ethan;3_0;True;NaN;NaN;microwave;NaN;NaN;NaN
3;[<__main__.Word instance at 0x110aa93f8>];Ethan;3_0;True;NaN;NaN;microwave;NaN;NaN;NaN
4;"[<__main__.Word instance at 0x110aa9680>
 <__main__.Word instance at 0x11d620440>
 <__main__.Word instance at 0x11d6205a8>]";Ethan;3_0;False;False;[['this'], ['you', 'need']];youneedthis;thisyouneed;0.5;-0.69314718056
5;"[<__main__.Word instance at 0x11d620758>
 <__main__.Word instance at 0x11d620878>]";Ethan;3_0;True;NaN;NaN;you'reexplorer;NaN;NaN;NaN
6;"[<__main__.Word instance at 0x11d620a28>
 <__main__.Word instance at 0x11d620b90>]";Ethan;3_0;False;False;[['hard'], ['hat']];hardhat;hathard;0.5;-0.69314718056
7;"[<__main__.Word instance at 0x11d620cf8>
 <__main__.Word instance at 0x11d620d88>
 <__main__.Word instance at 0x11d620e18>]";Ethan;3_0;True;NaN;NaN;someseabirds;NaN;NaN;NaN
8;"[<__main__.Word instance at 0x11d620f38>
 <__main__.Word instance at 0x11d620fc8>]";Ethan;3_0;True;NaN;NaN;warblerwarbler;NaN;NaN;NaN
9;"[<__main__.Word instance at 0x1109104d0>
 <__main__.Word instance at 0x110910368>]";Ethan;3_0;True;NaN;NaN;birdbird;NaN;NaN;NaN
10;"[<__main__.Word instance at 0x110910908>
 <__main__.Word instance at 0x110910b00>]";Ethan;3_0;False;False;"[[""what's""], ['that']]";what'sthat;thatwhat's;0.5;-0.69314718056
11;[<__main__.Word instance at 0x110910c20>];Ethan;3_0;False;True;[['Brio']];Brio;Brio;1.0;0.0
12;"[<__main__.Word instance at 0x1109106c8>
 <__main__.Word instance at 0x110912c68>
 <__main__.Word instance at 0x110912c20>]";Ethan;3_0;True;NaN;NaN;aBriothing;NaN;NaN;NaN
13;"[<__main__.Word instance at 0x110912a28>
 <__main__.Word instance at 0x11d626098>
 <__main__.Word instance at 0x11d626128>
 <__main__.Word instance at 0x11d6261b8>]";Ethan;3_0;True;NaN;NaN;onthewrongone;NaN;NaN;NaN
14;"[<__main__.Word instance at 0x11d6262d8>
 <__main__.Word instance at 0x11d626320>
 <__main__.Word instance at 0x11d626440>
 <__main__.Word instance at 0x11d6264d0>]";Ethan;3_0;True;NaN;NaN;that'sasecretpassage;NaN;NaN;NaN
15;[<__main__.Word instance at 0x11d6265f0>];Ethan;3_0;False;True;"[[""that's""]]";that's;that's;1.0;0.0
16;"[<__main__.Word instance at 0x11d6266c8>
 <__main__.Word instance at 0x11d626998>]";Ethan;3_0;True;NaN;NaN;theydifferent;NaN;NaN;NaN
17;"[<__main__.Word instance at 0x11d626a70>
 <__main__.Word instance at 0x11d626b48>
 <__main__.Word instance at 0x11d6269e0>]";Ethan;3_0;True;NaN;NaN;they'redifferentcharacters;NaN;NaN;NaN
18;[<__main__.Word instance at 0x11d626ab8>];Ethan;3_0;True;NaN;NaN;felt;NaN;NaN;NaN
19;"[<__main__.Word instance at 0x11d626b90>
 <__main__.Word instance at 0x11d626d88>]";Ethan;3_0;True;NaN;NaN;lunarcrater;NaN;NaN;NaN
20;"[<__main__.Word instance at 0x11d626f38>
 <__main__.Word instance at 0x11d626e18>]";Ethan;3_0;True;NaN;NaN;therocket;NaN;NaN;NaN
21;"[<__main__.Word instance at 0x11d626fc8>
 <__main__.Word instance at 0x11d62a1b8>]";Ethan;3_0;True;NaN;NaN;whogoes;NaN;NaN;NaN
22;"[<__main__.Word instance at 0x11d62a128>
 <__main__.Word instance at 0x11d62a3b0>]";Ethan;3_0;True;NaN;NaN;theastronauts;NaN;NaN;NaN
23;"[<__main__.Word instance at 0x11d62a488>
 <__main__.Word instance at 0x11d62a518>
 <__main__.Word instance at 0x11d62a3f8>
 <__main__.Word instance at 0x11d62a5f0>]";Ethan;3_0;True;NaN;NaN;they'reflyingaroundnaked;NaN;NaN;NaN
24;[<__main__.Word instance at 0x11d62a7e8>];Ethan;3_0;True;NaN;NaN;naked;NaN;NaN;NaN
25;"[<__main__.Word instance at 0x11d62a8c0>
 <__main__.Word instance at 0x11d62a0e0>]";Ethan;3_0;False;True;[['we', 'need']];weneed;weneed;1.0;0.0
26;[<__main__.Word instance at 0x11d62a368>];Ethan;3_0;False;True;[['space']];space;space;1.0;0.0
27;[<__main__.Word instance at 0x11d62a9e0>];Ethan;3_0;False;True;[['him']];him;him;1.0;0.0
28;"[<__main__.Word instance at 0x11d62a7a0>
 <__main__.Word instance at 0x11d62acb0>
 <__main__.Word instance at 0x11d62ab48>]";Ethan;3_0;True;NaN;NaN;prepareforblastoff;NaN;NaN;NaN
29;[<__main__.Word instance at 0x11d62ac20>];Ethan;3_0;True;NaN;NaN;without;NaN;NaN;NaN
30;"[<__main__.Word instance at 0x11d62acf8>
 <__main__.Word instance at 0x11d62aef0>]";Ethan;3_0;True;NaN;NaN;there'sfire;NaN;NaN;NaN
31;"[<__main__.Word instance at 0x11d62af80>
 <__main__.Word instance at 0x11d62a830>]";Ethan;3_0;True;NaN;NaN;here'sfire;NaN;NaN;NaN
32;"[<__main__.Word instance at 0x11d62a908>
 <__main__.Word instance at 0x11d62add0>]";Ethan;3_0;True;NaN;NaN;holdthis;NaN;NaN;NaN
33;[<__main__.Word instance at 0x11d62d0e0>];Ethan;3_0;True;NaN;NaN;&;NaN;NaN;NaN
34;"[<__main__.Word instance at 0x11d62d248>
 <__main__.Word instance at 0x11d62d440>
 <__main__.Word instance at 0x11d62d2d8>]";Ethan;3_0;False;True;[['landing'], ['landing'], ['landing']];landinglandinglanding;landinglandinglanding;0.166666666667;1.79175946923
35;"[<__main__.Word instance at 0x11d62d5f0>
 <__main__.Word instance at 0x11d62d128>
 <__main__.Word instance at 0x11d62d680>
 <__main__.Word instance at 0x11d62d560>]";Ethan;3_0;True;NaN;NaN;thefirecameout;NaN;NaN;NaN
36;[<__main__.Word instance at 0x11d62d710>];Ethan;3_0;False;True;[['around']];around;around;1.0;0.0
37;"[<__main__.Word instance at 0x11d62d3f8>
 <__main__.Word instance at 0x11d62db00>
 <__main__.Word instance at 0x11d62d998>]";Ethan;3_0;True;NaN;NaN;there'smorefire;NaN;NaN;NaN
38;"[<__main__.Word instance at 0x11d62d488>
 <__main__.Word instance at 0x11d62dcb0>]";Ethan;3_0;False;False;[['lots_of'], ['flames']];lots_offlames;flameslots_of;0.5;-0.69314718056
39;"[<__main__.Word instance at 0x11d62dd88>
 <__main__.Word instance at 0x11d62dc20>
 <__main__.Word instance at 0x11d62de60>
 <__main__.Word instance at 0x11d62dcf8>]";Ethan;3_0;False;False;"[['flames'], [""there's""], ['a', 'few']]";there'safewflames;there'sflamesafew;0.166666666667;-0.182321556794
40;"[<__main__.Word instance at 0x11d62ddd0>
 <__main__.Word instance at 0x11d62df80>]";Ethan;3_0;False;True;"[['lot'], [""there's""]]";there'slot;there'slot;0.5;0.69314718056
41;"[<__main__.Word instance at 0x11d62dea8>
 <__main__.Word instance at 0x11d630098>
 <__main__.Word instance at 0x11d630170>]";Ethan;3_0;True;NaN;NaN;it'sflyingaway;NaN;NaN;NaN
42;"[<__main__.Word instance at 0x11d630200>
 <__main__.Word instance at 0x11d630518>
 <__main__.Word instance at 0x11d6303b0>
 <__main__.Word instance at 0x11d6305a8>]";Ethan;3_0;True;NaN;NaN;haveatvbelly;NaN;NaN;NaN
43;"[<__main__.Word instance at 0x11d6304d0>
 <__main__.Word instance at 0x11d630950>
 <__main__.Word instance at 0x11d6307e8>
 <__main__.Word instance at 0x11d630a28>]";Ethan;3_0;True;NaN;NaN;theymustbeteletubbies;NaN;NaN;NaN
44;[<__main__.Word instance at 0x11d630b00>];Ethan;3_0;True;NaN;NaN;teletubbies;NaN;NaN;NaN
45;"[<__main__.Word instance at 0x11d630ab8>
 <__main__.Word instance at 0x11d6302d8>
 <__main__.Word instance at 0x11d630d40>
 <__main__.Word instance at 0x11d630cf8>]";Ethan;3_0;False;False;[['rope'], ['they'], ['I', 'think']];Ithinktheyrope;theyropeIthink;0.166666666667;-0.182321556794
46;"[<__main__.Word instance at 0x11d630bd8>
 <__main__.Word instance at 0x11d630f80>
 <__main__.Word instance at 0x11d630ea8>
 <__main__.Word instance at 0x11d630e60>]";Ethan;3_0;True;NaN;NaN;they'reflyingsofar;NaN;NaN;NaN
47;[<__main__.Word instance at 0x11d633200>];Ethan;3_0;True;NaN;NaN;without;NaN;NaN;NaN
