,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10ced7170>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,0.0,False,-0.0
1,1,[<__main__.Word instance at 0x10ceb1a70>],Lily,4_0,False,True,[['&-uh']],&-uh,&-uh,1.0,0.0,False,-0.0
2,2,"[<__main__.Word instance at 0x10ceb1cf8>
 <__main__.Word instance at 0x10ceb1a28>
 <__main__.Word instance at 0x10ceb1758>]",Lily,4_0,False,False,"[['&-uh'], ['read'], ['read']]",&-uhreadread,readread&-uh,0.166666666667,-0.182321556794,True,-0.4054651081081643
3,3,[<__main__.Word instance at 0x10ceb1518>],Lily,4_0,False,True,[['Grandma']],Grandma,Grandma,1.0,0.0,False,-0.0
4,4,"[<__main__.Word instance at 0x10cd1aa28>
 <__main__.Word instance at 0x10cd1ac20>
 <__main__.Word instance at 0x119ae0170>]",Lily,4_0,False,True,"[['Grandpa'], ['and'], ['Grandma']]",GrandmaandGrandpa,GrandmaandGrandpa,0.166666666667,1.79175946923,False,1.791759469228055
5,5,"[<__main__.Word instance at 0x119ae0320>
 <__main__.Word instance at 0x119ae0440>
 <__main__.Word instance at 0x119ae0560>
 <__main__.Word instance at 0x119ae0680>
 <__main__.Word instance at 0x119ae07a0>]",Lily,4_0,False,False,"[['and'], ['Grandma'], ['and'], ['Papa'], ['and']]",andandGrandmaandPapa,GrandmaPapaandandand,0.00833333333333,-0.00836824967052,True,-0.051293294387550585
6,6,[<__main__.Word instance at 0x119ae09e0>],Lily,4_0,False,True,[['what']],what,what,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x119ae0c20>],Lily,4_0,False,True,[['when']],when,when,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x119ae0dd0>],Lily,4_0,False,True,[['oh']],oh,oh,1.0,0.0,False,-0.0
9,9,"[<__main__.Word instance at 0x119ae0f80>
 <__main__.Word instance at 0x10cd186c8>
 <__main__.Word instance at 0x10cd18908>
 <__main__.Word instance at 0x10cd18998>
 <__main__.Word instance at 0x10cd18b48>
 <__main__.Word instance at 0x10cd18878>
 <__main__.Word instance at 0x119ae7128>
 <__main__.Word instance at 0x119ae7320>]",Lily,4_0,False,False,"[['&-um'], ['was'], ['was'], ['I', 'think'], ['it'], ['it'], ['those']]",itwas&-umIthinkitwasthose,itwasitwasthoseIthink&-um,0.000198412698413,-0.000198432384816,True,-0.000793965901176512
10,10,[<__main__.Word instance at 0x119ae7488>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,0.0,False,-0.0
11,11,[<__main__.Word instance at 0x119ae75f0>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,0.0,False,-0.0
12,12,[<__main__.Word instance at 0x119ae7680>],Lily,4_0,False,True,[['okay']],okay,okay,1.0,0.0,False,-0.0
13,13,[<__main__.Word instance at 0x119ae7758>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,0.0,False,-0.0
14,14,[<__main__.Word instance at 0x119ae76c8>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,0.0,False,-0.0
15,15,"[<__main__.Word instance at 0x119ae77a0>
 <__main__.Word instance at 0x119ae7ab8>]",Lily,4_0,False,True,"[['a', 'carousel']]",acarousel,acarousel,1.0,0.0,False,-0.0
16,16,"[<__main__.Word instance at 0x119ae7b48>
 <__main__.Word instance at 0x119ae70e0>]",Lily,4_0,False,True,"[['a', 'carousel']]",acarousel,acarousel,1.0,0.0,False,-0.0
17,17,[<__main__.Word instance at 0x119ae7bd8>],Lily,4_0,False,True,[['mhm']],mhm,mhm,1.0,0.0,False,-0.0
18,18,[<__main__.Word instance at 0x119ae7a70>],Lily,4_0,False,True,[['mm']],mm,mm,1.0,0.0,False,-0.0
19,19,[<__main__.Word instance at 0x119ae7560>],Lily,4_0,False,True,[['mm']],mm,mm,1.0,0.0,False,-0.0
20,20,"[<__main__.Word instance at 0x119ae7d88>
 <__main__.Word instance at 0x119ae7cf8>
 <__main__.Word instance at 0x119aea0e0>]",Lily,4_0,False,False,"[['a'], [""that's""], ['cat']]",that'sacat,athat'scat,0.166666666667,-0.182321556794,False,-0.1823215567939546
