,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x10aa29a70>
 <__main__.Word instance at 0x10aa297a0>]",Naima,2_0,False,True,"[['chicken'], ['stew']]",chickenstew,chickenstew,0.5,0.69314718056,False,0.6931471805599453
1,1,"[<__main__.Word instance at 0x10aa29a28>
 <__main__.Word instance at 0x10aa29758>
 <__main__.Word instance at 0x10aa298c0>
 <__main__.Word instance at 0x10aa29518>
 <__main__.Word instance at 0x10a8906c8>]",Naima,2_0,False,False,"[['put'], [""that's""], ['it'], ['you'], ['where']]",that'swhereyouputit,youputitwherethat's,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
2,2,"[<__main__.Word instance at 0x10a890998>
 <__main__.Word instance at 0x10a890b48>
 <__main__.Word instance at 0x10a884cf8>
 <__main__.Word instance at 0x10aa600e0>
 <__main__.Word instance at 0x10aa60248>
 <__main__.Word instance at 0x10aa602d8>
 <__main__.Word instance at 0x10aa603f8>]",Naima,2_0,False,False,"[['to'], ['la'], ['moon'], ['the'], ['la'], ['take', 'me']]",takemetothelalamoon,themoontolalatakeme,0.00138888888889,-0.00138985428905,True,-0.002781642961876803
3,3,"[<__main__.Word instance at 0x10aa60638>
 <__main__.Word instance at 0x10aa60758>
 <__main__.Word instance at 0x10aa60878>
 <__main__.Word instance at 0x10aa60998>
 <__main__.Word instance at 0x10aa60ab8>]",Naima,2_0,False,False,"[['sun'], ['give'], ['me'], ['moon'], ['me']]",megivemesunmoon,memoongivemesun,0.00833333333333,-0.00836824967052,True,-0.01680711831638129
4,4,[<__main__.Word instance at 0x10aa60cf8>],Naima,2_0,False,True,[['jumping']],jumping,jumping,1.0,0.0,False,-0.0
5,5,"[<__main__.Word instance at 0x10aa60f38>
 <__main__.Word instance at 0x10aa60f80>
 <__main__.Word instance at 0x10aa60fc8>
 <__main__.Word instance at 0x117fef098>
 <__main__.Word instance at 0x117fef170>
 <__main__.Word instance at 0x117fef200>
 <__main__.Word instance at 0x117fef320>
 <__main__.Word instance at 0x117fef0e0>
 <__main__.Word instance at 0x117fef4d0>]",Naima,2_0,False,False,"[['la'], ['moon'], ['the'], ['talk'], ['take', 'me'], ['about'], ['la'], ['to']]",talkabouttakemetothelalamoon,themoonlalatakemetotalkabout,2.48015873016e-05,-2.4801894866e-05,True,-4.9604404881379266e-05
6,6,"[<__main__.Word instance at 0x117fef5a8>
 <__main__.Word instance at 0x117fef680>
 <__main__.Word instance at 0x117fef368>
 <__main__.Word instance at 0x117fef758>
 <__main__.Word instance at 0x117fef5f0>
 <__main__.Word instance at 0x117fef7e8>]",Naima,2_0,False,False,"[['I'], ['a', 'free', 'little', 'bird'], ['as']]",afreelittlebirdasI,asafreelittlebirdI,0.166666666667,-0.182321556794,False,-0.1823215567939546
7,7,[<__main__.Word instance at 0x117fef8c0>],Naima,2_0,False,True,[['chicken']],chicken,chicken,1.0,0.0,False,-0.0
8,8,"[<__main__.Word instance at 0x117fefc20>
 <__main__.Word instance at 0x117fefa28>
 <__main__.Word instance at 0x117fefc68>
 <__main__.Word instance at 0x117fefb90>
 <__main__.Word instance at 0x117fefe60>
 <__main__.Word instance at 0x117fefcf8>
 <__main__.Word instance at 0x117feff38>]",Naima,2_0,False,False,"[['have'], ['my'], ['splash'], ['I'], ['leg'], ['a'], ['on']]",Ihaveasplashonmyleg,Ihaveaonmylegsplash,0.000198412698413,-0.000198432384816,False,-0.0001984323848162081
9,9,"[<__main__.Word instance at 0x117fefea8>
 <__main__.Word instance at 0x117feff80>
 <__main__.Word instance at 0x117fef518>]",Naima,2_0,False,True,"[['done'], ['eating'], [""I'm""]]",I'mdoneeating,I'mdoneeating,0.166666666667,1.79175946923,False,1.791759469228055
10,10,[<__main__.Word instance at 0x117ff2050>],Naima,2_0,False,True,[['cold']],cold,cold,1.0,0.0,False,-0.0
11,11,"[<__main__.Word instance at 0x117ff2200>
 <__main__.Word instance at 0x117ff2098>
 <__main__.Word instance at 0x117ff2290>]",Naima,2_0,False,False,"[['is'], ['rag'], ['cold']]",ragiscold,iscoldrag,0.166666666667,-0.182321556794,False,-0.1823215567939546
12,12,[<__main__.Word instance at 0x117ff2320>],Naima,2_0,False,True,[['wet']],wet,wet,1.0,0.0,False,-0.0
13,13,"[<__main__.Word instance at 0x117ff2638>
 <__main__.Word instance at 0x117ff24d0>]",Naima,2_0,False,True,"[['the', 'rag']]",therag,therag,1.0,0.0,False,-0.0
14,14,"[<__main__.Word instance at 0x117ff25a8>
 <__main__.Word instance at 0x117ff27e8>
 <__main__.Word instance at 0x117ff2680>
 <__main__.Word instance at 0x117ff2878>
 <__main__.Word instance at 0x117ff2758>]",Naima,2_0,False,False,"[['to'], ['so'], ['the', 'rag'], ['use']]",sousetheragto,theragusetoso,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
