,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x1180a2950>
 <__main__.Word instance at 0x1180a2ab8>
 <__main__.Word instance at 0x1180a2b48>
 <__main__.Word instance at 0x1180a2cb0>
 <__main__.Word instance at 0x1180a2e60>
 <__main__.Word instance at 0x1180a2f38>
 <__main__.Word instance at 0x107d18560>]",Violet,3_6,True,,,Momareyoumakinganewstring,,,NaN,NaN
1,1,[<__main__.Word instance at 0x107d187a0>],Violet,3_6,False,True,[['kite']],kite,kite,1.0,False,-0.0
2,2,"[<__main__.Word instance at 0x107d18a28>
 <__main__.Word instance at 0x107d18758>
 <__main__.Word instance at 0x107d188c0>]",Violet,3_6,False,False,"[['is'], ['what'], ['this']]",whatisthis,isthiswhat,0.166666666667,False,-0.1823215567939546
3,3,"[<__main__.Word instance at 0x107d18680>
 <__main__.Word instance at 0x107d18518>
 <__main__.Word instance at 0x107d184d0>
 <__main__.Word instance at 0x107d18488>]",Violet,3_6,False,False,"[['what'], ['it'], ['is'], ['for']]",whatisitfor,isitforwhat,0.0416666666667,False,-0.04255961441879589
4,4,"[<__main__.Word instance at 0x107d18440>
 <__main__.Word instance at 0x107d18f80>
 <__main__.Word instance at 0x107b7f5a8>]",Violet,3_6,False,False,"[['is'], ['this'], ['what']]",whatisthis,isthiswhat,0.166666666667,False,-0.1823215567939546
5,5,"[<__main__.Word instance at 0x107b7fa28>
 <__main__.Word instance at 0x107b7f4d0>
 <__main__.Word instance at 0x107b7f908>]",Violet,3_6,False,False,"[[""here's""], ['kite'], ['a']]",here'sakite,ahere'skite,0.166666666667,False,-0.1823215567939546
6,6,[<__main__.Word instance at 0x107b7f878>],Violet,3_6,False,True,[['kite']],kite,kite,1.0,False,-0.0
7,7,"[<__main__.Word instance at 0x107b7f368>
 <__main__.Word instance at 0x107b81a28>
 <__main__.Word instance at 0x107b81ab8>]",Violet,3_6,False,False,"[['it'], ['I'], ['see']]",Iseeit,seeitI,0.166666666667,False,-0.1823215567939546
8,8,[<__main__.Word instance at 0x107b819e0>],Violet,3_6,False,True,[['movie']],movie,movie,1.0,False,-0.0
9,9,[<__main__.Word instance at 0x107b81bd8>],Violet,3_6,False,True,[['hey']],hey,hey,1.0,False,-0.0
10,10,[<__main__.Word instance at 0x1180a8128>],Violet,3_6,False,True,[['move']],move,move,1.0,False,-0.0
11,11,[<__main__.Word instance at 0x1180a8248>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
12,12,[<__main__.Word instance at 0x1180a8368>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
13,13,[<__main__.Word instance at 0x1180a8488>],Violet,3_6,False,True,[['ball']],ball,ball,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x1180a85a8>],Violet,3_6,False,True,[['oops']],oops,oops,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x1180a86c8>],Violet,3_6,False,True,[['we']],we,we,1.0,False,-0.0
16,16,[<__main__.Word instance at 0x1180a87e8>],Violet,3_6,True,,,yum,,,NaN,NaN
17,17,"[<__main__.Word instance at 0x1180a88c0>
 <__main__.Word instance at 0x1180a89e0>
 <__main__.Word instance at 0x1180a8ab8>]",Violet,3_6,False,False,"[['over'], ['all'], ['food']]",foodallover,alloverfood,0.166666666667,False,-0.1823215567939546
18,18,[<__main__.Word instance at 0x1180a8bd8>],Violet,3_6,False,True,[['mama']],mama,mama,1.0,False,-0.0
19,19,[<__main__.Word instance at 0x1180a8cf8>],Violet,3_6,False,True,[['bye']],bye,bye,1.0,False,-0.0
20,20,"[<__main__.Word instance at 0x1180a8ea8>
 <__main__.Word instance at 0x1180a8d40>
 <__main__.Word instance at 0x1180a8f80>
 <__main__.Word instance at 0x1180a8ef0>
 <__main__.Word instance at 0x1180a8fc8>]",Violet,3_6,False,False,"[['now'], ['book'], ['I'], ['read'], ['can']]",nowcanIreadbook,bookcanreadInow,0.00833333333333,False,-0.00836824967051658
21,21,"[<__main__.Word instance at 0x1180ac098>
 <__main__.Word instance at 0x1180ac128>
 <__main__.Word instance at 0x1180ac320>
 <__main__.Word instance at 0x1180ac200>
 <__main__.Word instance at 0x1180ac3f8>
 <__main__.Word instance at 0x1180ac4d0>]",Violet,3_6,False,False,"[['get'], ['bunnies'], ['from'], ['the', 'Easter'], ['that']]",getthatfromtheEasterbunnies,thatfromtheEastergetbunnies,0.00833333333333,False,-0.00836824967051658
22,22,"[<__main__.Word instance at 0x1180ac710>
 <__main__.Word instance at 0x1180ac2d8>
 <__main__.Word instance at 0x1180ac7a0>]",Violet,3_6,False,False,"[['want'], ['yes'], ['I']]",yesIwant,wantyesI,0.166666666667,False,-0.1823215567939546
23,23,[<__main__.Word instance at 0x1180ac878>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
24,24,[<__main__.Word instance at 0x1180ac908>],Violet,3_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
25,25,"[<__main__.Word instance at 0x1180acab8>
 <__main__.Word instance at 0x1180ac998>]",Violet,3_6,False,True,"[['Easter', 'bunnies']]",Easterbunnies,Easterbunnies,1.0,False,-0.0
26,26,[<__main__.Word instance at 0x1180aca28>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
27,27,[<__main__.Word instance at 0x1180acb48>],Violet,3_6,False,True,[['two']],two,two,1.0,False,-0.0
28,28,[<__main__.Word instance at 0x1180ac7e8>],Violet,3_6,False,True,[['where']],where,where,1.0,False,-0.0
29,29,"[<__main__.Word instance at 0x1180acd88>
 <__main__.Word instance at 0x1180acfc8>]",Violet,3_6,True,,,&-uhAmerica,,,NaN,NaN
30,30,[<__main__.Word instance at 0x1180acf38>],Violet,3_6,False,True,[['three']],three,three,1.0,False,-0.0
31,31,[<__main__.Word instance at 0x1180b00e0>],Violet,3_6,False,True,[['four']],four,four,1.0,False,-0.0
32,32,[<__main__.Word instance at 0x1180b03b0>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
33,33,[<__main__.Word instance at 0x1180b0488>],Violet,3_6,False,True,[['five']],five,five,1.0,False,-0.0
34,34,[<__main__.Word instance at 0x1180b0518>],Violet,3_6,False,True,[['six']],six,six,1.0,False,-0.0
35,35,[<__main__.Word instance at 0x1180b0710>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
36,36,[<__main__.Word instance at 0x1180b0908>],Violet,3_6,False,True,[['seven']],seven,seven,1.0,False,-0.0
37,37,[<__main__.Word instance at 0x1180b0998>],Violet,3_6,False,True,[['eight']],eight,eight,1.0,False,-0.0
38,38,[<__main__.Word instance at 0x1180b0a28>],Violet,3_6,True,,,yeh,,,NaN,NaN
39,39,[<__main__.Word instance at 0x1180b0bd8>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
40,40,"[<__main__.Word instance at 0x1180b0e18>
 <__main__.Word instance at 0x1180b0b48>
 <__main__.Word instance at 0x1180b0f38>
 <__main__.Word instance at 0x1180b0c68>
 <__main__.Word instance at 0x1180b32d8>]",Violet,3_6,False,False,"[['read'], ['the', 'other'], ['books'], ['all']]",readalltheotherbooks,allbookstheotherread,0.0416666666667,False,-0.04255961441879589
41,41,"[<__main__.Word instance at 0x1180b3560>
 <__main__.Word instance at 0x1180b33f8>
 <__main__.Word instance at 0x1180b3638>]",Violet,3_6,False,True,"[['that'], ['Daddy'], ['read']]",thatDaddyread,thatDaddyread,0.166666666667,False,1.791759469228055
42,42,"[<__main__.Word instance at 0x1180b37e8>
 <__main__.Word instance at 0x1180b36c8>
 <__main__.Word instance at 0x1180b39e0>
 <__main__.Word instance at 0x1180b38c0>
 <__main__.Word instance at 0x1180b3bd8>]",Violet,3_6,False,False,"[['he'], ['did'], ['that'], ['that'], ['he']]",thathethathedid,thathedidhethat,0.0333333333333,True,-0.03390155167568134
43,43,"[<__main__.Word instance at 0x1180b3c68>
 <__main__.Word instance at 0x1180b3998>
 <__main__.Word instance at 0x1180b3e60>
 <__main__.Word instance at 0x1180b3cf8>
 <__main__.Word instance at 0x1180b3f38>]",Violet,3_6,False,False,"[['these'], ['can'], ['you'], ['all'], ['books']]",canyouallthesebooks,thesebooksallcanyou,0.00833333333333,False,-0.00836824967051658
44,44,"[<__main__.Word instance at 0x1180b3fc8>
 <__main__.Word instance at 0x1180b3128>
 <__main__.Word instance at 0x1180b3e18>]",Violet,3_6,False,False,"[['you'], ['read'], ['can']]",canyouread,youcanread,0.166666666667,False,-0.1823215567939546
45,45,"[<__main__.Word instance at 0x1180b6290>
 <__main__.Word instance at 0x1180b6368>
 <__main__.Word instance at 0x1180b6200>]",Violet,3_6,False,False,"[['you'], ['read'], ['can']]",canyouread,youcanread,0.166666666667,False,-0.1823215567939546
46,46,[<__main__.Word instance at 0x1180b64d0>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
47,47,"[<__main__.Word instance at 0x1180b66c8>
 <__main__.Word instance at 0x1180b6560>
 <__main__.Word instance at 0x1180b67a0>
 <__main__.Word instance at 0x1180b6128>]",Violet,3_6,False,False,"[['she'], ['should'], ['here'], ['come']]",sheshouldcomehere,herecomeshouldshe,0.0416666666667,False,-0.04255961441879589
48,48,"[<__main__.Word instance at 0x1180b6710>
 <__main__.Word instance at 0x1180b6950>
 <__main__.Word instance at 0x1180b67e8>
 <__main__.Word instance at 0x1180b69e0>
 <__main__.Word instance at 0x1180b68c0>]",Violet,3_6,False,False,"[['the', 'zoo'], ['go'], ['to'], ['wanna']]",wannagotothezoo,gotothezoowanna,0.0416666666667,False,-0.04255961441879589
49,49,"[<__main__.Word instance at 0x1180b6a70>
 <__main__.Word instance at 0x1180b6cb0>
 <__main__.Word instance at 0x1180b6680>]",Violet,3_6,False,False,"[['go'], ['to'], [""I'll""]]",I'llgoto,gotoI'll,0.166666666667,False,-0.1823215567939546
50,50,[<__main__.Word instance at 0x1180b62d8>],Violet,3_6,True,,,Zack,,,NaN,NaN
51,51,"[<__main__.Word instance at 0x1180b6dd0>
 <__main__.Word instance at 0x1180b6fc8>]",Violet,3_6,False,True,"[['the', 'Easter']]",theEaster,theEaster,1.0,False,-0.0
52,52,[<__main__.Word instance at 0x1180b9248>],Violet,3_6,False,True,[['ooh']],ooh,ooh,1.0,False,-0.0
53,53,"[<__main__.Word instance at 0x1180b9440>
 <__main__.Word instance at 0x1180b92d8>]",Violet,3_6,False,False,"[['like'], ['I']]",Ilike,likeI,0.5,False,-0.6931471805599453
54,54,"[<__main__.Word instance at 0x1180b95f0>
 <__main__.Word instance at 0x1180b9488>
 <__main__.Word instance at 0x1180b9680>
 <__main__.Word instance at 0x1180b9830>]",Violet,3_6,False,False,"[['this', 'one'], ['want'], ['I']]",Iwantthisone,wantIthisone,0.166666666667,False,-0.1823215567939546
55,55,[<__main__.Word instance at 0x1180b9a70>],Violet,3_6,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
56,56,"[<__main__.Word instance at 0x1180b9b00>
 <__main__.Word instance at 0x1180b9560>
 <__main__.Word instance at 0x1180b9cb0>]",Violet,3_6,False,False,"[['the', 'living'], ['bed']]",thelivingbed,bedtheliving,0.5,False,-0.6931471805599453
57,57,"[<__main__.Word instance at 0x1180b9e60>
 <__main__.Word instance at 0x1180b9d88>]",Violet,3_6,False,False,"[['yeah'], ['night']]",yeahnight,nightyeah,0.5,False,-0.6931471805599453
58,58,"[<__main__.Word instance at 0x1180b9d40>
 <__main__.Word instance at 0x1180b97e8>
 <__main__.Word instance at 0x1180b9f80>
 <__main__.Word instance at 0x1180b9ea8>]",Violet,3_6,False,True,"[['the', 'living'], ['bed'], ['of']]",ofthelivingbed,ofthelivingbed,0.166666666667,False,1.791759469228055
59,59,"[<__main__.Word instance at 0x1180bd0e0>
 <__main__.Word instance at 0x1180bd290>
 <__main__.Word instance at 0x1180bd170>
 <__main__.Word instance at 0x1180bd518>
 <__main__.Word instance at 0x1180bd5f0>
 <__main__.Word instance at 0x1180bd1b8>]",Violet,3_6,True,,,Elvisroosteralmostgoestoheaven,,,NaN,NaN
60,60,"[<__main__.Word instance at 0x1180bd440>
 <__main__.Word instance at 0x1180bd638>
 <__main__.Word instance at 0x1180bd2d8>
 <__main__.Word instance at 0x1180bd878>
 <__main__.Word instance at 0x1180bd7a0>
 <__main__.Word instance at 0x1180bd998>
 <__main__.Word instance at 0x1180bd758>
 <__main__.Word instance at 0x1180bda28>]",Violet,3_6,False,False,"[['the', 'Easter'], ['from'], ['the', 'attack'], ['bunnies'], ['the', 'attack']]",theattacktheattackfromtheEasterbunnies,theattackbunniestheattackfromtheEaster,0.0166666666667,True,-0.01680711831638129
61,61,[<__main__.Word instance at 0x1180bdd40>],Violet,3_6,False,True,[['no']],no,no,1.0,False,-0.0
62,62,[<__main__.Word instance at 0x1180bdf38>],Violet,3_6,False,True,[['Easter']],Easter,Easter,1.0,False,-0.0
63,63,[<__main__.Word instance at 0x1180c1050>],Violet,3_6,False,True,[['Easter']],Easter,Easter,1.0,False,-0.0
64,64,[<__main__.Word instance at 0x1180c1170>],Violet,3_6,False,True,[['yes']],yes,yes,1.0,False,-0.0
