,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10665a560>],Violet,2_0,False,True,[['back']],back,back,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x10665a7a0>
 <__main__.Word instance at 0x10665acf8>]",Violet,2_0,True,,,backitch,,,NaN,NaN
2,2,"[<__main__.Word instance at 0x10665a758>
 <__main__.Word instance at 0x10665a8c0>
 <__main__.Word instance at 0x10665a518>]",Violet,2_0,True,,,backisnice,,,NaN,NaN
3,3,[<__main__.Word instance at 0x113426560>],Violet,2_0,False,True,[['back']],back,back,1.0,False,-0.0
4,4,[<__main__.Word instance at 0x113426710>],Violet,2_0,False,True,[['back']],back,back,1.0,False,-0.0
5,5,[<__main__.Word instance at 0x113426950>],Violet,2_0,True,,,nose,,,NaN,NaN
6,6,"[<__main__.Word instance at 0x113426b90>
 <__main__.Word instance at 0x113426cb0>
 <__main__.Word instance at 0x113426d88>]",Violet,2_0,False,False,"[['about'], ['this'], ['how']]",howaboutthis,thishowabout,0.166666666667,False,-0.1823215567939546
7,7,"[<__main__.Word instance at 0x113426f80>
 <__main__.Word instance at 0x1064c15a8>
 <__main__.Word instance at 0x1064c1a28>]",Violet,2_0,False,False,"[['this'], ['how'], ['about']]",howaboutthis,thishowabout,0.166666666667,False,-0.1823215567939546
8,8,"[<__main__.Word instance at 0x1064c1998>
 <__main__.Word instance at 0x1064c1b48>
 <__main__.Word instance at 0x1064b5cf8>
 <__main__.Word instance at 0x1064c39e0>
 <__main__.Word instance at 0x11342c0e0>]",Violet,2_0,True,,,howaboutreathisone,,,NaN,NaN
9,9,[<__main__.Word instance at 0x11342c320>],Violet,2_0,True,,,rhino,,,NaN,NaN
10,10,[<__main__.Word instance at 0x11342c368>],Violet,2_0,False,True,[['no']],no,no,1.0,False,-0.0
11,11,"[<__main__.Word instance at 0x11342c560>
 <__main__.Word instance at 0x11342c878>
 <__main__.Word instance at 0x11342c758>
 <__main__.Word instance at 0x11342c950>
 <__main__.Word instance at 0x11342c710>]",Violet,2_0,False,False,"[['I', ""don't""], ['this', 'one'], ['read']]",Idon'treadthisone,thisoneIdon'tread,0.166666666667,False,-0.1823215567939546
12,12,[<__main__.Word instance at 0x11342c9e0>],Violet,2_0,True,,,apple,,,NaN,NaN
13,13,"[<__main__.Word instance at 0x11342c830>
 <__main__.Word instance at 0x11342cdd0>
 <__main__.Word instance at 0x11342cc68>
 <__main__.Word instance at 0x11342cea8>]",Violet,2_0,True,,,it'sanappletree,,,NaN,NaN
14,14,"[<__main__.Word instance at 0x11342cf80>
 <__main__.Word instance at 0x11342cd88>]",Violet,2_0,True,,,otherapple,,,NaN,NaN
15,15,"[<__main__.Word instance at 0x11342ccf8>
 <__main__.Word instance at 0x11342cef0>
 <__main__.Word instance at 0x11342f098>]",Violet,2_0,True,,,it'saairplane,,,NaN,NaN
16,16,"[<__main__.Word instance at 0x11342f290>
 <__main__.Word instance at 0x11342f200>
 <__main__.Word instance at 0x11342f320>]",Violet,2_0,True,,,it'sabird,,,NaN,NaN
17,17,[<__main__.Word instance at 0x11342f488>],Violet,2_0,True,,,popped,,,NaN,NaN
18,18,"[<__main__.Word instance at 0x11342f518>
 <__main__.Word instance at 0x11342f830>
 <__main__.Word instance at 0x11342f6c8>
 <__main__.Word instance at 0x11342f908>]",Violet,2_0,False,False,"[['on'], [""it's""], ['the', 'back']]",it'sontheback,it'sthebackon,0.166666666667,False,-0.1823215567939546
19,19,[<__main__.Word instance at 0x11342f758>],Violet,2_0,False,True,[['no']],no,no,1.0,False,-0.0
20,20,"[<__main__.Word instance at 0x11342fb48>
 <__main__.Word instance at 0x11342fa28>]",Violet,2_0,False,True,"[['look', 'at']]",lookat,lookat,1.0,False,-0.0
21,21,[<__main__.Word instance at 0x11342f7e8>],Violet,2_0,True,,,rainbows,,,NaN,NaN
22,22,"[<__main__.Word instance at 0x11342f950>
 <__main__.Word instance at 0x11342fd88>
 <__main__.Word instance at 0x11342f9e0>]",Violet,2_0,True,,,lookthoserainbows,,,NaN,NaN
23,23,"[<__main__.Word instance at 0x11342f368>
 <__main__.Word instance at 0x11342ff80>]",Violet,2_0,True,,,agoat,,,NaN,NaN
24,24,"[<__main__.Word instance at 0x11342ffc8>
 <__main__.Word instance at 0x11342fb00>
 <__main__.Word instance at 0x11342fb90>
 <__main__.Word instance at 0x11342fc68>]",Violet,2_0,False,False,"[['the'], ['green'], ['look', 'at']]",lookatthegreen,thelookatgreen,0.166666666667,False,-0.1823215567939546
25,25,[<__main__.Word instance at 0x1134332d8>],Violet,2_0,False,True,[['moon']],moon,moon,1.0,False,-0.0
26,26,"[<__main__.Word instance at 0x1134333b0>
 <__main__.Word instance at 0x113433170>
 <__main__.Word instance at 0x113433488>]",Violet,2_0,False,True,"[['it'], ['I'], ['like']]",Ilikeit,Ilikeit,0.166666666667,False,1.791759469228055
27,27,"[<__main__.Word instance at 0x113433560>
 <__main__.Word instance at 0x1134333f8>
 <__main__.Word instance at 0x1134335f0>
 <__main__.Word instance at 0x1134334d0>]",Violet,2_0,False,True,"[['get'], ['book'], ['you'], ['the']]",yougetthebook,yougetthebook,0.0416666666667,False,3.1780538303479458
28,28,[<__main__.Word instance at 0x1134336c8>],Violet,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
29,29,[<__main__.Word instance at 0x1134330e0>],Violet,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
30,30,[<__main__.Word instance at 0x113433908>],Violet,2_0,False,True,[['yeah']],yeah,yeah,1.0,False,-0.0
