,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,repetition,correctedscore
0,0,[<__main__.Word instance at 0x10e0dd560>],Ethan,2_6,False,True,[['&-uh']],&-uh,&-uh,1.0,False,-0.0
1,1,"[<__main__.Word instance at 0x10e0dd7a0>
 <__main__.Word instance at 0x10e0ddcf8>
 <__main__.Word instance at 0x10e0dda28>]",Ethan,2_6,False,True,"[['I', 'am'], ['there']]",thereIam,thereIam,0.5,False,0.6931471805599453
2,2,"[<__main__.Word instance at 0x10e0dd3f8>
 <__main__.Word instance at 0x11e9a5128>
 <__main__.Word instance at 0x11e9a5290>
 <__main__.Word instance at 0x11e9a5320>
 <__main__.Word instance at 0x11e9a5488>
 <__main__.Word instance at 0x11e9a5638>]",Ethan,2_6,False,False,"[['my'], ['my'], ['bottom'], ['I'], ['see'], ['of']]",Iseemybottomofmy,seeIofmybottommy,0.00277777777778,True,-0.002781642961876803
3,3,"[<__main__.Word instance at 0x11e9a5a28>
 <__main__.Word instance at 0x11e9a5b00>
 <__main__.Word instance at 0x11e9a5b90>]",Ethan,2_6,False,False,"[['&-uh'], ['no'], ['no']]",&-uhnono,nono&-uh,0.333333333333,True,-0.4054651081081643
4,4,"[<__main__.Word instance at 0x11e9a5dd0>
 <__main__.Word instance at 0x11e9a5e60>]",Ethan,2_6,False,True,"[['no'], ['no']]",nono,nono,1.0,True,-0.0
5,5,"[<__main__.Word instance at 0x11e9a5f80>
 <__main__.Word instance at 0x10df44a28>
 <__main__.Word instance at 0x10df446c8>]",Ethan,2_6,False,False,"[[""let's""], ['play'], ['with']]",let'splaywith,withplaylet's,0.166666666667,False,-0.1823215567939546
6,6,[<__main__.Word instance at 0x10df44b48>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
7,7,"[<__main__.Word instance at 0x10df44c20>
 <__main__.Word instance at 0x10df444d0>
 <__main__.Word instance at 0x10df46a28>
 <__main__.Word instance at 0x10df46c68>]",Ethan,2_6,True,,,noit'safountain,,,NaN,NaN
8,8,[<__main__.Word instance at 0x10df46c20>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
9,9,"[<__main__.Word instance at 0x11e9aa170>
 <__main__.Word instance at 0x11e9aa200>
 <__main__.Word instance at 0x11e9aa0e0>
 <__main__.Word instance at 0x11e9aa290>
 <__main__.Word instance at 0x11e9aa3b0>
 <__main__.Word instance at 0x11e9aa4d0>]",Ethan,2_6,True,,,noit'saonthefountain,,,NaN,NaN
10,10,"[<__main__.Word instance at 0x11e9aa440>
 <__main__.Word instance at 0x11e9aa710>
 <__main__.Word instance at 0x11e9aa5f0>
 <__main__.Word instance at 0x11e9aa908>
 <__main__.Word instance at 0x11e9aa7e8>
 <__main__.Word instance at 0x11e9aa998>
 <__main__.Word instance at 0x11e9aac20>]",Ethan,2_6,False,True,"[['on', 'top'], ['a', 'boulder'], [""there's""], ['of'], ['no']]",nothere'saboulderontopof,nothere'saboulderontopof,0.00833333333333,False,4.787491742782046
11,11,[<__main__.Word instance at 0x11e9aacb0>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
12,12,"[<__main__.Word instance at 0x11e9ae050>
 <__main__.Word instance at 0x11e9ae248>
 <__main__.Word instance at 0x11e9ae128>
 <__main__.Word instance at 0x11e9ae1b8>
 <__main__.Word instance at 0x11e9ae440>
 <__main__.Word instance at 0x11e9ae368>]",Ethan,2_6,False,False,"[['different', 'kind'], ['of'], ['no'], ['elephant'], ['&-uh']]",&-uhnodifferentkindofelephant,elephant&-uhnodifferentkindof,0.00833333333333,False,-0.00836824967051658
13,13,[<__main__.Word instance at 0x11e9ae560>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
14,14,[<__main__.Word instance at 0x11e9ae290>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
15,15,[<__main__.Word instance at 0x11e9ae6c8>],Ethan,2_6,False,True,[['truck']],truck,truck,1.0,False,-0.0
16,16,"[<__main__.Word instance at 0x11e9ae7a0>
 <__main__.Word instance at 0x11e9ae9e0>
 <__main__.Word instance at 0x11e9ae878>]",Ethan,2_6,False,False,"[['only'], ['a'], ['truck']]",onlyatruck,atruckonly,0.166666666667,False,-0.1823215567939546
17,17,[<__main__.Word instance at 0x11e9ae3f8>],Ethan,2_6,False,True,[['oh']],oh,oh,1.0,False,-0.0
18,18,"[<__main__.Word instance at 0x11e9aeb00>
 <__main__.Word instance at 0x11e9aeea8>]",Ethan,2_6,False,False,"[[""what's""], ['this']]",what'sthis,thiswhat's,0.5,False,-0.6931471805599453
19,19,"[<__main__.Word instance at 0x11e9aef80>
 <__main__.Word instance at 0x11e9aebd8>
 <__main__.Word instance at 0x11e9aefc8>]",Ethan,2_6,False,False,"[['he'], ['magnet'], ['needs']]",heneedsmagnet,needsmagnethe,0.166666666667,False,-0.1823215567939546
20,20,"[<__main__.Word instance at 0x11e9aee18>
 <__main__.Word instance at 0x11e9b1200>]",Ethan,2_6,False,False,"[[""what's""], ['up']]",what'sup,upwhat's,0.5,False,-0.6931471805599453
21,21,"[<__main__.Word instance at 0x11e9b1320>
 <__main__.Word instance at 0x11e9b1128>]",Ethan,2_6,False,True,"[['magnet'], ['big']]",bigmagnet,bigmagnet,0.5,False,0.6931471805599453
22,22,"[<__main__.Word instance at 0x11e9b1560>
 <__main__.Word instance at 0x11e9b13f8>]",Ethan,2_6,False,True,"[['magnet'], ['big']]",bigmagnet,bigmagnet,0.5,False,0.6931471805599453
23,23,"[<__main__.Word instance at 0x11e9b1440>
 <__main__.Word instance at 0x11e9b17e8>
 <__main__.Word instance at 0x11e9b1518>
 <__main__.Word instance at 0x11e9b1878>]",Ethan,2_6,False,True,"[['break'], ['for'], ['me'], ['have_to']]",formehave_tobreak,formehave_tobreak,0.0416666666667,False,3.1780538303479458
24,24,"[<__main__.Word instance at 0x11e9b1a70>
 <__main__.Word instance at 0x11e9b1908>
 <__main__.Word instance at 0x11e9b1b90>]",Ethan,2_6,False,True,"[['no'], ['I', ""don't""]]",noIdon't,noIdon't,0.5,False,0.6931471805599453
25,25,[<__main__.Word instance at 0x11e9b1d88>],Ethan,2_6,False,True,[['oh']],oh,oh,1.0,False,-0.0
26,26,[<__main__.Word instance at 0x11e9b1e60>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
27,27,"[<__main__.Word instance at 0x11e9b1ef0>
 <__main__.Word instance at 0x11e9b1dd0>]",Ethan,2_6,False,False,"[['no'], ['fly']]",nofly,flyno,0.5,False,-0.6931471805599453
28,28,[<__main__.Word instance at 0x11e9b1bd8>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
29,29,"[<__main__.Word instance at 0x11e9b4290>
 <__main__.Word instance at 0x11e9b41b8>]",Ethan,2_6,False,True,"[['wheels'], ['rear']]",rearwheels,rearwheels,0.5,False,0.6931471805599453
30,30,[<__main__.Word instance at 0x11e9b4320>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
31,31,"[<__main__.Word instance at 0x11e9b45f0>
 <__main__.Word instance at 0x11e9b44d0>
 <__main__.Word instance at 0x11e9b4908>
 <__main__.Word instance at 0x11e9b47e8>
 <__main__.Word instance at 0x11e9b4878>
 <__main__.Word instance at 0x11e9b4758>
 <__main__.Word instance at 0x11e9b4b48>
 <__main__.Word instance at 0x11e9b4a28>]",Ethan,2_6,False,False,"[['no'], ['with'], ['your'], ['station'], ['play'], ['you'], ['will'], ['train']]",nowillyouplaywithyourtrainstation,willyouplaywithyourtrainnostation,2.48015873016e-05,False,-2.48018948660112e-05
32,32,"[<__main__.Word instance at 0x11e9b4680>
 <__main__.Word instance at 0x11e9b4cb0>
 <__main__.Word instance at 0x11e9b4b90>
 <__main__.Word instance at 0x11e9b4dd0>]",Ethan,2_6,False,False,"[['you', 'need'], ['some'], ['windows']]",youneedsomewindows,somewindowsyouneed,0.166666666667,False,-0.1823215567939546
33,33,[<__main__.Word instance at 0x11e9b4ea8>],Ethan,2_6,False,True,[['no']],no,no,1.0,False,-0.0
34,34,"[<__main__.Word instance at 0x11e9b4f80>
 <__main__.Word instance at 0x11e9b4e18>
 <__main__.Word instance at 0x11e9b4ef0>
 <__main__.Word instance at 0x11e9b4fc8>
 <__main__.Word instance at 0x11e9b4950>
 <__main__.Word instance at 0x11e9b7098>]",Ethan,2_6,False,False,"[['put'], ['no'], ['you'], ['how', 'bout'], ['no']]",nonohowboutyouput,puthowboutyounono,0.0166666666667,True,-0.01680711831638129
35,35,"[<__main__.Word instance at 0x11e9b72d8>
 <__main__.Word instance at 0x11e9b71b8>]",Ethan,2_6,False,True,"[['the', 'doors']]",thedoors,thedoors,1.0,False,-0.0
36,36,"[<__main__.Word instance at 0x11e9b7320>
 <__main__.Word instance at 0x11e9b7680>]",Ethan,2_6,False,True,"[['no'], ['no']]",nono,nono,1.0,True,-0.0
37,37,"[<__main__.Word instance at 0x11e9b7a70>
 <__main__.Word instance at 0x11e9b7998>
 <__main__.Word instance at 0x11e9b7ab8>
 <__main__.Word instance at 0x11e9b7b90>
 <__main__.Word instance at 0x11e9b7dd0>]",Ethan,2_6,True,,,arock'sinthetrack,,,NaN,NaN
38,38,"[<__main__.Word instance at 0x11e9b7560>
 <__main__.Word instance at 0x11e9b7f38>]",Ethan,2_6,False,True,"[['scoop'], ['a']]",ascoop,ascoop,0.5,False,0.6931471805599453
39,39,"[<__main__.Word instance at 0x11e9b78c0>
 <__main__.Word instance at 0x11e9b7cf8>
 <__main__.Word instance at 0x11e9ba050>
 <__main__.Word instance at 0x11e9ba248>
 <__main__.Word instance at 0x11e9ba0e0>]",Ethan,2_6,False,True,"[['the', 'road'], ['goes'], ['that'], ['on']]",thatgoesontheroad,thatgoesontheroad,0.0416666666667,False,3.1780538303479458
