num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;[<__main__.Word instance at 0x1102d1710>];Naima;3_6;False;True;[['hi']];hi;hi;1.0;0.0
1;[<__main__.Word instance at 0x1102d18c0>];Naima;3_6;False;True;[['Naima']];Naima;Naima;1.0;0.0
2;"[<__main__.Word instance at 0x1102d1b00>
 <__main__.Word instance at 0x1102d1c20>
 <__main__.Word instance at 0x1102d1d40>
 <__main__.Word instance at 0x1102d1e60>
 <__main__.Word instance at 0x1102d1ef0>
 <__main__.Word instance at 0x1102d1fc8>
 <__main__.Word instance at 0x103739170>]";Naima;3_6;False;False;"[['name'], ['by'], ['called'], ['Naima'], ['middle'], ['my'], [""I'm""]]";I'mcalledbymymiddlenameNaima;NaimamiddleI'mcalledmybyname;0.000198412698413;-0.000198432384816
3;"[<__main__.Word instance at 0x103713560>
 <__main__.Word instance at 0x103713a70>
 <__main__.Word instance at 0x1037137a0>
 <__main__.Word instance at 0x103713cf8>
 <__main__.Word instance at 0x103713a28>]";Naima;3_6;False;False;"[['music'], [""there's""], ['because'], ['Naima'], ['named']]";becausethere'smusicnamedNaima;Naimanamedmusicbecausethere's;0.00833333333333;-0.00836824967052
4;[<__main__.Word instance at 0x1037138c0>];Naima;3_6;False;True;[['in']];in;in;1.0;0.0
5;[<__main__.Word instance at 0x1037133f8>];Naima;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
6;"[<__main__.Word instance at 0x10356ecf8>
 <__main__.Word instance at 0x10357ca28>]";Naima;3_6;False;False;[['box'], ['spindle']];spindlebox;boxspindle;0.5;-0.69314718056
7;"[<__main__.Word instance at 0x10357cc68>
 <__main__.Word instance at 0x10357c9e0>
 <__main__.Word instance at 0x10357a6c8>
 <__main__.Word instance at 0x10357a908>
 <__main__.Word instance at 0x10357aa28>
 <__main__.Word instance at 0x10357ab00>
 <__main__.Word instance at 0x10357ac20>
 <__main__.Word instance at 0x10357ab48>
 <__main__.Word instance at 0x1102d8050>]";Naima;3_6;False;False;[['something'], ['is'], ['the', 'spindle', 'box'], ['spindles'], ['count'], ['you'], ['where']];thespindleboxissomethingwhereyoucountspindles;youwherethespindleboxcountissomethingspindles;0.000198412698413;-0.000198432384816
8;"[<__main__.Word instance at 0x1102d8200>
 <__main__.Word instance at 0x1102d8290>
 <__main__.Word instance at 0x1102d8320>]";Naima;3_6;False;True;[['one', 'person', 'work']];onepersonwork;onepersonwork;1.0;0.0
9;"[<__main__.Word instance at 0x1102d8440>
 <__main__.Word instance at 0x1102d84d0>
 <__main__.Word instance at 0x1102d8518>
 <__main__.Word instance at 0x1102d86c8>
 <__main__.Word instance at 0x1102d8560>
 <__main__.Word instance at 0x1102d8758>]";Naima;3_6;False;False;[['two'], ['person', 'work'], ['a'], ['see'], ['hm']];hmseeatwopersonwork;ahmseetwopersonwork;0.00833333333333;-0.00836824967052
10;"[<__main__.Word instance at 0x1102d8950>
 <__main__.Word instance at 0x1102d8bd8>
 <__main__.Word instance at 0x1102d8ab8>
 <__main__.Word instance at 0x1102d8dd0>
 <__main__.Word instance at 0x1102d8c68>
 <__main__.Word instance at 0x1102d8ea8>
 <__main__.Word instance at 0x1102d8f80>
 <__main__.Word instance at 0x1102d8e18>
 <__main__.Word instance at 0x1102d8ef0>]";Naima;3_6;False;False;[['the'], ['in'], ['pancake'], ['seeing'], ['and'], ['the', 'longest'], ['one'], ['work']];thepancakeworkandseeingthelongestonein;oneintheworkthelongestandseeingpancake;2.48015873016e-05;-2.4801894866e-05
11;[<__main__.Word instance at 0x1102d8d88>];Naima;3_6;False;True;[['yeah']];yeah;yeah;1.0;0.0
