num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x115a3c908>
 <__main__.Word instance at 0x115a3ca70>
 <__main__.Word instance at 0x115a3cb00>
 <__main__.Word instance at 0x115a3cc68>
 <__main__.Word instance at 0x115a3ce18>
 <__main__.Word instance at 0x115a3cf38>
 <__main__.Word instance at 0x108223560>
 <__main__.Word instance at 0x108223a70>
 <__main__.Word instance at 0x1082237a0>]";Naima;2_6;False;False;[['the', 'land'], ['see'], ['to'], ['want'], ['do'], ['the', 'ship'], ['why']];whydotheshipwanttoseetheland;dotoseewhywantthelandtheship;0.000198412698413;-0.000198432384816
1;[<__main__.Word instance at 0x108223a28>];Naima;2_6;False;True;[['why']];why;why;1.0;0.0
2;"[<__main__.Word instance at 0x1082238c0>
 <__main__.Word instance at 0x108223518>
 <__main__.Word instance at 0x10807ecf8>
 <__main__.Word instance at 0x10808ca28>
 <__main__.Word instance at 0x10808c9e0>
 <__main__.Word instance at 0x10808cbd8>
 <__main__.Word instance at 0x10808cc20>
 <__main__.Word instance at 0x10808a5a8>
 <__main__.Word instance at 0x10808aa28>
 <__main__.Word instance at 0x10808a368>]";Naima;2_6;False;False;[['the', 'land'], ['see'], ['to'], ['the'], ['want'], ['do'], ['why'], ['ships'], ['do']];whydodotheshipswanttoseetheland;dothetodowantshipswhyseetheland;2.7557319224e-06;-2.75573571947e-06
3;[<__main__.Word instance at 0x10808ac20>];Naima;2_6;False;True;[['why']];why;why;1.0;0.0
4;"[<__main__.Word instance at 0x115a47050>
 <__main__.Word instance at 0x115a47170>
 <__main__.Word instance at 0x115a47200>
 <__main__.Word instance at 0x115a470e0>
 <__main__.Word instance at 0x115a474d0>
 <__main__.Word instance at 0x115a473f8>
 <__main__.Word instance at 0x115a475a8>
 <__main__.Word instance at 0x115a47320>]";Naima;2_6;True;NaN;NaN;I'mashipIhearthefoghorn;NaN;NaN;NaN
5;[<__main__.Word instance at 0x115a47518>];Naima;2_6;False;True;[['yes']];yes;yes;1.0;0.0
6;"[<__main__.Word instance at 0x115a475f0>
 <__main__.Word instance at 0x115a477e8>
 <__main__.Word instance at 0x115a476c8>
 <__main__.Word instance at 0x115a47908>]";Naima;2_6;False;False;"[['a'], [""Daddy's""], ['fog', 'horn']]";Daddy'safoghorn;afoghornDaddy's;0.166666666667;-0.182321556794
7;[<__main__.Word instance at 0x115a479e0>];Naima;2_6;False;True;[['why']];why;why;1.0;0.0
8;"[<__main__.Word instance at 0x115a47950>
 <__main__.Word instance at 0x115a47b48>
 <__main__.Word instance at 0x115a47a28>
 <__main__.Word instance at 0x115a47d40>
 <__main__.Word instance at 0x115a47c20>]";Naima;2_6;False;True;[['time'], ['spend'], ['at'], ['the'], ['Maine']];spendthetimeatMaine;spendthetimeatMaine;0.00833333333333;4.78749174278
9;"[<__main__.Word instance at 0x115a47290>
 <__main__.Word instance at 0x115a47ea8>
 <__main__.Word instance at 0x115a47d88>]";Naima;2_6;False;False;[['the', 'tape'], ['and']];andthetape;thetapeand;0.5;-0.69314718056
10;"[<__main__.Word instance at 0x115a47cf8>
 <__main__.Word instance at 0x115a42098>]";Naima;2_6;False;False;[['yeah'], ['no']];yeahno;noyeah;0.5;-0.69314718056
11;[<__main__.Word instance at 0x115a422d8>];Naima;2_6;False;True;[['no']];no;no;1.0;0.0
12;[<__main__.Word instance at 0x115a42518>];Naima;2_6;False;True;[['yes']];yes;yes;1.0;0.0
13;[<__main__.Word instance at 0x115a42710>];Naima;2_6;False;True;[['no']];no;no;1.0;0.0
14;"[<__main__.Word instance at 0x115a428c0>
 <__main__.Word instance at 0x115a42950>
 <__main__.Word instance at 0x115a42a28>
 <__main__.Word instance at 0x115a42b00>
 <__main__.Word instance at 0x115a42998>]";Naima;2_6;False;False;"[['I', ""don't""], ['want'], ['the', 'water']]";Idon'twantthewater;wantIdon'tthewater;0.166666666667;-0.182321556794
15;"[<__main__.Word instance at 0x115a42a70>
 <__main__.Word instance at 0x115a42cb0>]";Naima;2_6;False;False;"[[""I'm""], ['gonna']]";I'mgonna;gonnaI'm;0.5;-0.69314718056
16;"[<__main__.Word instance at 0x115a42d88>
 <__main__.Word instance at 0x115a42c20>]";Naima;2_6;False;True;[['to', 'Dad']];toDad;toDad;1.0;0.0
17;[<__main__.Word instance at 0x115a42cf8>];Naima;2_6;False;True;[['yes']];yes;yes;1.0;0.0
18;"[<__main__.Word instance at 0x115a42fc8>
 <__main__.Word instance at 0x115a4a0e0>
 <__main__.Word instance at 0x115a4a170>]";Naima;2_6;True;NaN;NaN;what'sthatpose;NaN;NaN;NaN
19;[<__main__.Word instance at 0x115a4a098>];Naima;2_6;False;True;[['why']];why;why;1.0;0.0
20;"[<__main__.Word instance at 0x115a4a368>
 <__main__.Word instance at 0x115a4a518>
 <__main__.Word instance at 0x115a4a2d8>
 <__main__.Word instance at 0x115a4a6c8>
 <__main__.Word instance at 0x115a4a5f0>
 <__main__.Word instance at 0x115a4a878>]";Naima;2_6;False;False;[['a'], ['good'], ['tonight'], ['book'], ['library'], ['read']];readagoodlibrarybooktonight;goodbookareadtonightlibrary;0.00138888888889;-0.00138985428905
21;"[<__main__.Word instance at 0x115a4a950>
 <__main__.Word instance at 0x115a4a5a8>
 <__main__.Word instance at 0x115a4a9e0>
 <__main__.Word instance at 0x115a4a8c0>]";Naima;2_6;False;True;[['this'], ['this'], ['and', 'then']];thisandthenthis;thisandthenthis;0.166666666667;1.79175946923
22;"[<__main__.Word instance at 0x115a4a710>
 <__main__.Word instance at 0x115a4ab90>]";Naima;2_6;False;False;[['this'], ['then']];thenthis;thisthen;0.5;-0.69314718056
23;"[<__main__.Word instance at 0x115a4add0>
 <__main__.Word instance at 0x115a4af38>
 <__main__.Word instance at 0x115a4ac20>
 <__main__.Word instance at 0x115a4d0e0>
 <__main__.Word instance at 0x115a4d170>]";Naima;2_6;False;False;[['this'], ['then'], ['and', 'then'], ['this']];thenthisandthenthis;thisandthenthenthis;0.0416666666667;-0.0425596144188
24;"[<__main__.Word instance at 0x115a4d3b0>
 <__main__.Word instance at 0x115a4d518>]";Naima;2_6;False;False;[['this'], ['then']];thenthis;thisthen;0.5;-0.69314718056
25;[<__main__.Word instance at 0x115a4d710>];Naima;2_6;False;True;[['this']];this;this;1.0;0.0
26;[<__main__.Word instance at 0x115a4d7a0>];Naima;2_6;False;True;[['this']];this;this;1.0;0.0
27;"[<__main__.Word instance at 0x115a4d950>
 <__main__.Word instance at 0x115a4d830>]";Naima;2_6;False;False;[['and'], ['this']];andthis;thisand;0.5;-0.69314718056
