num;utterance;child;age;skipped;reconstructed;bow;gold;prediction;chance;controlledscore
0;"[<__main__.Word instance at 0x11d360b48>
 <__main__.Word instance at 0x11d360bd8>
 <__main__.Word instance at 0x11d360cf8>
 <__main__.Word instance at 0x11d360e18>
 <__main__.Word instance at 0x11d360f38>
 <__main__.Word instance at 0x1102de560>]";William;3_0;True;NaN;NaN;Ididitgomoreyay;NaN;NaN;NaN
1;"[<__main__.Word instance at 0x1102de7a0>
 <__main__.Word instance at 0x1102decf8>
 <__main__.Word instance at 0x1102dea28>
 <__main__.Word instance at 0x1102de758>
 <__main__.Word instance at 0x1102de8c0>]";William;3_0;False;False;[['go'], ['did'], ['it'], ['it'], ['more']];itdiditgomore;itgodiditmore;0.00833333333333;-0.00836824967052
2;"[<__main__.Word instance at 0x1101455a8>
 <__main__.Word instance at 0x110145a28>
 <__main__.Word instance at 0x110145368>
 <__main__.Word instance at 0x110145b00>
 <__main__.Word instance at 0x110147a28>
 <__main__.Word instance at 0x110147c68>]";William;3_0;True;NaN;NaN;itdiditgomoreyay;NaN;NaN;NaN
3;[<__main__.Word instance at 0x11d366098>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
4;"[<__main__.Word instance at 0x11d3662d8>
 <__main__.Word instance at 0x11d3663f8>
 <__main__.Word instance at 0x11d366518>]";William;3_0;False;True;[['okay'], ['how', 'about']];okayhowabout;okayhowabout;0.5;0.69314718056
5;[<__main__.Word instance at 0x11d366758>];William;3_0;False;True;[['purple']];purple;purple;1.0;0.0
6;"[<__main__.Word instance at 0x11d3669e0>
 <__main__.Word instance at 0x11d366b90>]";William;3_0;False;True;[['the'], ['orange']];theorange;theorange;0.5;0.69314718056
7;"[<__main__.Word instance at 0x11d366cb0>
 <__main__.Word instance at 0x11d366a28>
 <__main__.Word instance at 0x11d366fc8>]";William;3_0;False;False;[['oh'], ['orange'], ['orange']];orangeorangeoh;ohorangeorange;0.166666666667;-0.182321556794
8;"[<__main__.Word instance at 0x11d366ea8>
 <__main__.Word instance at 0x11d366e60>
 <__main__.Word instance at 0x11d36a098>
 <__main__.Word instance at 0x11d36a1b8>]";William;3_0;False;True;[['me'], ['can'], ['orange'], ['help']];canhelpmeorange;canhelpmeorange;0.0416666666667;3.17805383035
9;[<__main__.Word instance at 0x11d36a248>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
10;[<__main__.Word instance at 0x11d36a440>];William;3_0;False;True;[['red']];red;red;1.0;0.0
11;[<__main__.Word instance at 0x11d36a638>];William;3_0;False;True;[['orange']];orange;orange;1.0;0.0
12;"[<__main__.Word instance at 0x11d36a5f0>
 <__main__.Word instance at 0x11d36a950>
 <__main__.Word instance at 0x11d36a368>
 <__main__.Word instance at 0x11d36a9e0>]";William;3_0;False;False;[['it'], ['you'], ['open'], ['can']];canyouopenit;canyouitopen;0.0416666666667;-0.0425596144188
13;[<__main__.Word instance at 0x11d36aab8>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
14;[<__main__.Word instance at 0x11d36ab90>];William;3_0;True;NaN;NaN;whoa;NaN;NaN;NaN
15;[<__main__.Word instance at 0x11d36ac68>];William;3_0;True;NaN;NaN;circle;NaN;NaN;NaN
16;"[<__main__.Word instance at 0x11d36ad40>
 <__main__.Word instance at 0x11d36abd8>
 <__main__.Word instance at 0x11d36add0>]";William;3_0;False;True;[['do'], ['and'], ['I']];andIdo;andIdo;0.166666666667;1.79175946923
17;[<__main__.Word instance at 0x11d36af80>];William;3_0;False;True;[['red']];red;red;1.0;0.0
18;"[<__main__.Word instance at 0x11d36af38>
 <__main__.Word instance at 0x11d36acb0>
 <__main__.Word instance at 0x11d36d1b8>]";William;3_0;False;False;[['how', 'bout'], ['green']];howboutgreen;greenhowbout;0.5;-0.69314718056
19;[<__main__.Word instance at 0x11d36d290>];William;3_0;False;True;[['help']];help;help;1.0;0.0
20;[<__main__.Word instance at 0x11d36d200>];William;3_0;False;True;[['what']];what;what;1.0;0.0
21;"[<__main__.Word instance at 0x11d36d4d0>
 <__main__.Word instance at 0x11d36d3b0>
 <__main__.Word instance at 0x11d36d6c8>]";William;3_0;True;NaN;NaN;huhacircle;NaN;NaN;NaN
22;"[<__main__.Word instance at 0x11d36d7a0>
 <__main__.Word instance at 0x11d36d170>
 <__main__.Word instance at 0x11d36d878>]";William;3_0;False;False;[['how', 'bout'], ['that']];howboutthat;thathowbout;0.5;-0.69314718056
23;"[<__main__.Word instance at 0x11d36d998>
 <__main__.Word instance at 0x11d36d5f0>
 <__main__.Word instance at 0x11d36da28>]";William;3_0;False;False;[['how', 'bout'], ['that']];howboutthat;thathowbout;0.5;-0.69314718056
24;[<__main__.Word instance at 0x11d36dab8>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
25;[<__main__.Word instance at 0x11d36dcb0>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
26;[<__main__.Word instance at 0x11d36dd88>];William;3_0;True;NaN;NaN;whoa;NaN;NaN;NaN
27;"[<__main__.Word instance at 0x11d36de60>
 <__main__.Word instance at 0x11d36dcf8>]";William;3_0;False;True;[['that'], ['a']];thata;thata;0.5;0.69314718056
28;"[<__main__.Word instance at 0x11d36ddd0>
 <__main__.Word instance at 0x11d36dfc8>
 <__main__.Word instance at 0x11d36dc68>
 <__main__.Word instance at 0x11d36d8c0>]";William;3_0;True;NaN;NaN;Imakeamouth;NaN;NaN;NaN
29;"[<__main__.Word instance at 0x11d371200>
 <__main__.Word instance at 0x11d3712d8>]";William;3_0;False;False;"[[""how's""], ['that']]";how'sthat;thathow's;0.5;-0.69314718056
30;"[<__main__.Word instance at 0x11d371248>
 <__main__.Word instance at 0x11d371560>
 <__main__.Word instance at 0x11d3713f8>
 <__main__.Word instance at 0x11d3715f0>
 <__main__.Word instance at 0x11d3710e0>]";William;3_0;True;NaN;NaN;I'mamakeasquare;NaN;NaN;NaN
31;[<__main__.Word instance at 0x11d371680>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
32;"[<__main__.Word instance at 0x11d371170>
 <__main__.Word instance at 0x11d371a70>
 <__main__.Word instance at 0x11d371908>
 <__main__.Word instance at 0x11d371b48>]";William;3_0;False;False;[['I'], ['it'], ['let'], ['down']];Idownletit;letdownIit;0.0416666666667;-0.0425596144188
33;"[<__main__.Word instance at 0x11d371c20>
 <__main__.Word instance at 0x11d371ab8>
 <__main__.Word instance at 0x11d371cb0>
 <__main__.Word instance at 0x11d371b90>
 <__main__.Word instance at 0x11d371ea8>]";William;3_0;True;NaN;NaN;ohIfillthecircle;NaN;NaN;NaN
34;"[<__main__.Word instance at 0x11d371f80>
 <__main__.Word instance at 0x11d371518>
 <__main__.Word instance at 0x11d371ef0>
 <__main__.Word instance at 0x11d371e60>]";William;3_0;True;NaN;NaN;redlot'sofcircles;NaN;NaN;NaN
35;[<__main__.Word instance at 0x11d374320>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
36;[<__main__.Word instance at 0x11d3743f8>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
37;[<__main__.Word instance at 0x11d374440>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
38;[<__main__.Word instance at 0x11d3745f0>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
39;[<__main__.Word instance at 0x11d374950>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
40;"[<__main__.Word instance at 0x11d374a28>
 <__main__.Word instance at 0x11d374ab8>]";William;3_0;False;True;[['&-uh'], ['ah']];&-uhah;&-uhah;0.5;0.69314718056
41;"[<__main__.Word instance at 0x11d374c68>
 <__main__.Word instance at 0x11d374b48>]";William;3_0;False;True;[['&-uh'], ['ah']];&-uhah;&-uhah;0.5;0.69314718056
42;"[<__main__.Word instance at 0x11d374cf8>
 <__main__.Word instance at 0x11d374ef0>
 <__main__.Word instance at 0x11d374cb0>]";William;3_0;False;False;[['blue'], ['orange'], ['maybe']];orangemaybeblue;maybeorangeblue;0.166666666667;-0.182321556794
43;[<__main__.Word instance at 0x11d374998>];William;3_0;False;True;[['no']];no;no;1.0;0.0
44;"[<__main__.Word instance at 0x11d374d88>
 <__main__.Word instance at 0x11d374908>]";William;3_0;False;True;[['blue'], ['blue']];blueblue;blueblue;0.5;0.69314718056
45;[<__main__.Word instance at 0x11d377170>];William;3_0;True;NaN;NaN;yep;NaN;NaN;NaN
46;"[<__main__.Word instance at 0x11d377368>
 <__main__.Word instance at 0x11d377248>
 <__main__.Word instance at 0x11d3773f8>
 <__main__.Word instance at 0x11d3775f0>]";William;3_0;False;False;[['do'], ['want'], ['I'], ['it']];Iwantdoit;itIwantdo;0.0416666666667;-0.0425596144188
47;[<__main__.Word instance at 0x11d3776c8>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
48;[<__main__.Word instance at 0x11d3777a0>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
49;"[<__main__.Word instance at 0x11d377830>
 <__main__.Word instance at 0x11d3779e0>
 <__main__.Word instance at 0x11d3778c0>
 <__main__.Word instance at 0x11d377cb0>
 <__main__.Word instance at 0x11d377bd8>]";William;3_0;True;NaN;NaN;Iwannabeamonster;NaN;NaN;NaN
50;[<__main__.Word instance at 0x11d377d40>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
51;[<__main__.Word instance at 0x11d377710>];William;3_0;True;NaN;NaN;finger;NaN;NaN;NaN
52;[<__main__.Word instance at 0x11d37b368>];William;3_0;True;NaN;NaN;Vicky;NaN;NaN;NaN
53;[<__main__.Word instance at 0x11d37b3f8>];William;3_0;True;NaN;NaN;finger;NaN;NaN;NaN
54;[<__main__.Word instance at 0x11d37b5a8>];William;3_0;True;NaN;NaN;smocks;NaN;NaN;NaN
55;[<__main__.Word instance at 0x11d37b7a0>];William;3_0;False;True;[['&-um']];&-um;&-um;1.0;0.0
56;"[<__main__.Word instance at 0x11d37b830>
 <__main__.Word instance at 0x11d37b560>
 <__main__.Word instance at 0x11d37ba28>]";William;3_0;False;False;[['fingerpaint'], ['want'], ['I']];Iwantfingerpaint;wantIfingerpaint;0.166666666667;-0.182321556794
57;[<__main__.Word instance at 0x11d37bab8>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
58;"[<__main__.Word instance at 0x11d37bcb0>
 <__main__.Word instance at 0x11d37bea8>
 <__main__.Word instance at 0x11d37bc20>
 <__main__.Word instance at 0x11d37bd40>
 <__main__.Word instance at 0x11d37bef0>
 <__main__.Word instance at 0x11d37e2d8>]";William;3_0;False;False;"[[""I'm""], ['hands'], ['I'], ['wash'], ['ready'], ['my']]";I'mreadyIwashmyhands;I'mreadymyhandsIwash;0.00138888888889;-0.00138985428905
59;[<__main__.Word instance at 0x11d37e368>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
60;"[<__main__.Word instance at 0x11d37e488>
 <__main__.Word instance at 0x11d37e638>
 <__main__.Word instance at 0x11d37eb48>
 <__main__.Word instance at 0x11d37ea28>]";William;3_0;False;False;[['I'], ['face', 'cloth'], ['want']];Iwantfacecloth;wantfaceclothI;0.166666666667;-0.182321556794
61;"[<__main__.Word instance at 0x11d37ed40>
 <__main__.Word instance at 0x11d37eef0>
 <__main__.Word instance at 0x11d37eb00>
 <__main__.Word instance at 0x11d37efc8>
 <__main__.Word instance at 0x11d37ee60>]";William;3_0;False;False;"[['want'], ['face', 'cloth'], ['I', ""don't""]]";Idon'twantfacecloth;wantfaceclothIdon't;0.166666666667;-0.182321556794
62;"[<__main__.Word instance at 0x11d37ecf8>
 <__main__.Word instance at 0x11d37ebd8>
 <__main__.Word instance at 0x11d37ef80>
 <__main__.Word instance at 0x11d37e0e0>
 <__main__.Word instance at 0x11d381170>]";William;3_0;False;False;"[['face', 'cloth'], ['I', ""don't""], ['want']]";Idon'twantfacecloth;wantIdon'tfacecloth;0.166666666667;-0.182321556794
63;"[<__main__.Word instance at 0x11d3812d8>
 <__main__.Word instance at 0x11d381638>]";William;3_0;False;False;[['wash'], ['hands']];washhands;handswash;0.5;-0.69314718056
64;"[<__main__.Word instance at 0x11d381758>
 <__main__.Word instance at 0x11d3811b8>]";William;3_0;True;NaN;NaN;I'mmiserable;NaN;NaN;NaN
65;"[<__main__.Word instance at 0x11d381680>
 <__main__.Word instance at 0x11d381878>]";William;3_0;True;NaN;NaN;I'mmiserable;NaN;NaN;NaN
66;"[<__main__.Word instance at 0x11d381c68>
 <__main__.Word instance at 0x11d381b90>]";William;3_0;True;NaN;NaN;I'mmiserable;NaN;NaN;NaN
67;[<__main__.Word instance at 0x11d381a70>];William;3_0;True;NaN;NaN;soap;NaN;NaN;NaN
68;"[<__main__.Word instance at 0x11d381cb0>
 <__main__.Word instance at 0x11d381ef0>
 <__main__.Word instance at 0x11d381908>]";William;3_0;False;False;[['way'], ['the', 'other']];theotherway;waytheother;0.5;-0.69314718056
69;[<__main__.Word instance at 0x11d381b00>];William;3_0;False;True;[['oh']];oh;oh;1.0;0.0
70;[<__main__.Word instance at 0x11d3819e0>];William;3_0;False;True;[['no']];no;no;1.0;0.0
71;[<__main__.Word instance at 0x11d385050>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
72;[<__main__.Word instance at 0x11d385320>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
73;"[<__main__.Word instance at 0x11d385560>
 <__main__.Word instance at 0x11d385170>]";William;3_0;False;False;[['them'], ['wash']];themwash;washthem;0.5;-0.69314718056
74;"[<__main__.Word instance at 0x11d3855f0>
 <__main__.Word instance at 0x11d3857a0>]";William;3_0;False;True;[['all'], ['done']];alldone;alldone;0.5;0.69314718056
75;"[<__main__.Word instance at 0x11d385710>
 <__main__.Word instance at 0x11d385950>]";William;3_0;False;False;[['gone'], ['no']];nogone;goneno;0.5;-0.69314718056
76;"[<__main__.Word instance at 0x11d385a28>
 <__main__.Word instance at 0x11d3853b0>]";William;3_0;False;True;[['and'], ['gone']];andgone;andgone;0.5;0.69314718056
77;"[<__main__.Word instance at 0x11d3858c0>
 <__main__.Word instance at 0x11d385bd8>
 <__main__.Word instance at 0x11d385488>]";William;3_0;False;True;[['then'], ['it'], ['wipe']];thenwipeit;thenwipeit;0.166666666667;1.79175946923
78;[<__main__.Word instance at 0x11d385440>];William;3_0;False;True;[['ah']];ah;ah;1.0;0.0
79;"[<__main__.Word instance at 0x11d385cf8>
 <__main__.Word instance at 0x11d385f38>]";William;3_0;True;NaN;NaN;I'mo;NaN;NaN;NaN
80;"[<__main__.Word instance at 0x11d385ea8>
 <__main__.Word instance at 0x11d385998>
 <__main__.Word instance at 0x11d385f80>]";William;3_0;False;True;"[['all', 'better'], [""I'm""]]";I'mallbetter;I'mallbetter;0.5;0.69314718056
81;[<__main__.Word instance at 0x11d3880e0>];William;3_0;False;True;[['yeah']];yeah;yeah;1.0;0.0
82;"[<__main__.Word instance at 0x11d3882d8>
 <__main__.Word instance at 0x11d388560>
 <__main__.Word instance at 0x11d388440>]";William;3_0;False;False;"[['down'], ['outside'], [""it's""]]";it'soutsidedown;it'sdownoutside;0.166666666667;-0.182321556794
83;[<__main__.Word instance at 0x11d3885f0>];William;3_0;False;True;[['oh']];oh;oh;1.0;0.0
84;[<__main__.Word instance at 0x11d3887a0>];William;3_0;False;True;[['&-uh']];&-uh;&-uh;1.0;0.0
85;[<__main__.Word instance at 0x11d388a70>];William;3_0;False;True;[['no']];no;no;1.0;0.0
86;[<__main__.Word instance at 0x11d388d88>];William;3_0;False;True;[['no']];no;no;1.0;0.0
87;[<__main__.Word instance at 0x11d388e60>];William;3_0;True;NaN;NaN;nope;NaN;NaN;NaN
88;"[<__main__.Word instance at 0x11d388f38>
 <__main__.Word instance at 0x11d388dd0>
 <__main__.Word instance at 0x11d388fc8>
 <__main__.Word instance at 0x11d388ea8>
 <__main__.Word instance at 0x11d3886c8>
 <__main__.Word instance at 0x11d38c368>
 <__main__.Word instance at 0x11d38c3f8>
 <__main__.Word instance at 0x11d38c0e0>]";William;3_0;True;NaN;NaN;bobobopbobobobobo;NaN;NaN;NaN
89;"[<__main__.Word instance at 0x11d38c200>
 <__main__.Word instance at 0x11d38c638>
 <__main__.Word instance at 0x11d38c518>]";William;3_0;False;False;[['go'], ['I'], ['first']];Igofirst;goIfirst;0.166666666667;-0.182321556794
90;[<__main__.Word instance at 0x11d38c1b8>];William;3_0;False;True;[['okay']];okay;okay;1.0;0.0
91;"[<__main__.Word instance at 0x11d38c4d0>
 <__main__.Word instance at 0x11d38c830>]";William;3_0;False;True;[['green'], ['&-uh']];&-uhgreen;&-uhgreen;0.5;0.69314718056
92;[<__main__.Word instance at 0x11d38cb48>];William;3_0;False;True;[['Mommy']];Mommy;Mommy;1.0;0.0
93;"[<__main__.Word instance at 0x11d38cc20>
 <__main__.Word instance at 0x11d38c8c0>]";William;3_0;False;True;[['Mommy'], ['red']];Mommyred;Mommyred;0.5;0.69314718056
94;"[<__main__.Word instance at 0x11d38c680>
 <__main__.Word instance at 0x11d38cfc8>]";William;3_0;False;True;[['red'], ['you']];youred;youred;0.5;0.69314718056
95;"[<__main__.Word instance at 0x11d38ce18>
 <__main__.Word instance at 0x11d38cd40>
 <__main__.Word instance at 0x11d38cb90>
 <__main__.Word instance at 0x11d38f098>]";William;3_0;True;NaN;NaN;owwhataboutDaddy;NaN;NaN;NaN
96;"[<__main__.Word instance at 0x11d38f440>
 <__main__.Word instance at 0x11d38f2d8>
 <__main__.Word instance at 0x11d38f518>
 <__main__.Word instance at 0x11d38f128>]";William;3_0;False;False;[['I'], ['want'], ['I'], ['first']];IwantIfirst;wantIfirstI;0.0416666666667;-0.0425596144188
97;"[<__main__.Word instance at 0x11d38f488>
 <__main__.Word instance at 0x11d38f6c8>]";William;3_0;False;True;[['go'], ['first']];gofirst;gofirst;0.5;0.69314718056
98;[<__main__.Word instance at 0x11d38f7e8>];William;3_0;False;True;[['yes']];yes;yes;1.0;0.0
