,num,utterance,child,age,skipped,reconstructed,bow,gold,prediction,chance,controlledscore,repetition,correctedscore
0,0,"[<__main__.Word instance at 0x11ae42c68>
 <__main__.Word instance at 0x11ae42cf8>]",Ethan,2_0,False,False,"[['real'], ['noodles']]",realnoodles,noodlesreal,0.5,-0.69314718056,False,-0.6931471805599453
1,1,"[<__main__.Word instance at 0x11ae42f38>
 <__main__.Word instance at 0x10df57560>]",Ethan,2_0,False,True,"[['cup'], ['noodles']]",cupnoodles,cupnoodles,0.5,0.69314718056,False,0.6931471805599453
2,2,"[<__main__.Word instance at 0x10df577a0>
 <__main__.Word instance at 0x10df57cf8>
 <__main__.Word instance at 0x10df57a28>]",Ethan,2_0,False,False,"[['noodles'], ['cup'], ['of']]",cupofnoodles,ofnoodlescup,0.166666666667,-0.182321556794,False,-0.1823215567939546
3,3,"[<__main__.Word instance at 0x10df578c0>
 <__main__.Word instance at 0x10df57518>
 <__main__.Word instance at 0x10df57f80>
 <__main__.Word instance at 0x10df57440>
 <__main__.Word instance at 0x10df57680>]",Ethan,2_0,False,False,"[['you'], ['give'], [""I'll""], ['real'], ['noodles']]",I'llgiveyourealnoodles,younoodlesI'llgivereal,0.00833333333333,-0.00836824967052,False,-0.00836824967051658
4,4,"[<__main__.Word instance at 0x10df574d0>
 <__main__.Word instance at 0x10df57c68>]",Ethan,2_0,False,True,"[['pretend'], ['pretend']]",pretendpretend,pretendpretend,0.5,0.69314718056,True,-0.0
5,5,[<__main__.Word instance at 0x10ddc0ab8>],Ethan,2_0,False,True,[['pretend']],pretend,pretend,1.0,0.0,False,-0.0
6,6,[<__main__.Word instance at 0x10ddc09e0>],Ethan,2_0,False,True,[['pretend']],pretend,pretend,1.0,0.0,False,-0.0
7,7,[<__main__.Word instance at 0x11ae49098>],Ethan,2_0,False,True,[['no']],no,no,1.0,0.0,False,-0.0
8,8,[<__main__.Word instance at 0x11ae49248>],Ethan,2_0,False,True,[['break']],break,break,1.0,0.0,False,-0.0
9,9,"[<__main__.Word instance at 0x11ae49368>
 <__main__.Word instance at 0x11ae493f8>
 <__main__.Word instance at 0x11ae49488>]",Ethan,2_0,False,True,"[['the', 'red', 'one']]",theredone,theredone,1.0,0.0,False,-0.0
10,10,"[<__main__.Word instance at 0x11ae495a8>
 <__main__.Word instance at 0x11ae49638>]",Ethan,2_0,False,False,"[['another'], [""that's""]]",that'sanother,anotherthat's,0.5,-0.69314718056,False,-0.6931471805599453
11,11,"[<__main__.Word instance at 0x11ae49710>
 <__main__.Word instance at 0x11ae49830>]",Ethan,2_0,False,True,"[['red'], ['one']]",redone,redone,0.5,0.69314718056,False,0.6931471805599453
12,12,"[<__main__.Word instance at 0x11ae49950>
 <__main__.Word instance at 0x11ae499e0>]",Ethan,2_0,False,True,"[['the', 'red']]",thered,thered,1.0,0.0,False,-0.0
13,13,"[<__main__.Word instance at 0x11ae49b00>
 <__main__.Word instance at 0x11ae49b48>
 <__main__.Word instance at 0x11ae49cf8>]",Ethan,2_0,False,False,"[['one'], ['a'], ['green']]",agreenone,oneagreen,0.166666666667,-0.182321556794,False,-0.1823215567939546
14,14,"[<__main__.Word instance at 0x11ae49d88>
 <__main__.Word instance at 0x11ae49f80>]",Ethan,2_0,False,True,"[['heavy'], ['a']]",aheavy,aheavy,0.5,0.69314718056,False,0.6931471805599453
15,15,[<__main__.Word instance at 0x11ae49cb0>],Ethan,2_0,False,True,[['green']],green,green,1.0,0.0,False,-0.0
16,16,[<__main__.Word instance at 0x11ae49e60>],Ethan,2_0,False,True,[['red']],red,red,1.0,0.0,False,-0.0
17,17,"[<__main__.Word instance at 0x10ddbe5a8>
 <__main__.Word instance at 0x10ddbea28>
 <__main__.Word instance at 0x10ddbe908>]",Ethan,2_0,False,True,"[['the', 'red'], ['green']]",theredgreen,theredgreen,0.5,0.69314718056,False,0.6931471805599453
18,18,"[<__main__.Word instance at 0x10ddbe998>
 <__main__.Word instance at 0x10ddbeb48>
 <__main__.Word instance at 0x10ddbec20>]",Ethan,2_0,False,False,"[['orange'], ['another'], ['one']]",anotherorangeone,anotheroneorange,0.166666666667,-0.182321556794,False,-0.1823215567939546
19,19,[<__main__.Word instance at 0x11ae4d170>],Ethan,2_0,False,True,[['orange']],orange,orange,1.0,0.0,False,-0.0
20,20,"[<__main__.Word instance at 0x11ae4d3b0>
 <__main__.Word instance at 0x11ae4d290>]",Ethan,2_0,False,True,"[['on'], ['put']]",puton,puton,0.5,0.69314718056,False,0.6931471805599453
21,21,"[<__main__.Word instance at 0x11ae4d518>
 <__main__.Word instance at 0x11ae4d3f8>]",Ethan,2_0,False,False,"[['took'], ['off']]",tookoff,offtook,0.5,-0.69314718056,False,-0.6931471805599453
22,22,"[<__main__.Word instance at 0x11ae4d248>
 <__main__.Word instance at 0x11ae4d6c8>
 <__main__.Word instance at 0x11ae4d8c0>
 <__main__.Word instance at 0x11ae4d758>
 <__main__.Word instance at 0x11ae4d998>]",Ethan,2_0,False,False,"[['you'], ['a', 'necklace'], ['make'], ['now']]",nowyoumakeanecklace,youmakeanecklacenow,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
23,23,"[<__main__.Word instance at 0x11ae4da70>
 <__main__.Word instance at 0x11ae4d1b8>]",Ethan,2_0,False,True,"[['it'], ['eat']]",eatit,eatit,0.5,0.69314718056,False,0.6931471805599453
24,24,"[<__main__.Word instance at 0x11ae4d9e0>
 <__main__.Word instance at 0x11ae4dc20>]",Ethan,2_0,False,True,"[['my'], ['play']]",myplay,myplay,0.5,0.69314718056,False,0.6931471805599453
25,25,"[<__main__.Word instance at 0x11ae4dcf8>
 <__main__.Word instance at 0x11ae4db90>]",Ethan,2_0,False,True,"[['do'], ['you']]",youdo,youdo,0.5,0.69314718056,False,0.6931471805599453
26,26,"[<__main__.Word instance at 0x11ae4d908>
 <__main__.Word instance at 0x11ae4dea8>]",Ethan,2_0,False,True,"[['blue'], ['play']]",blueplay,blueplay,0.5,0.69314718056,False,0.6931471805599453
27,27,"[<__main__.Word instance at 0x11ae4df80>
 <__main__.Word instance at 0x11ae4de18>
 <__main__.Word instance at 0x11ae4dc68>
 <__main__.Word instance at 0x11ae4dfc8>]",Ethan,2_0,False,False,"[['the', 'blue'], ['already'], ['is']]",theblueisalready,isthebluealready,0.166666666667,-0.182321556794,False,-0.1823215567939546
28,28,"[<__main__.Word instance at 0x11ae51098>
 <__main__.Word instance at 0x11ae51170>
 <__main__.Word instance at 0x11ae51248>]",Ethan,2_0,False,False,"[['the', 'train'], ['board']]",thetrainboard,boardthetrain,0.5,-0.69314718056,False,-0.6931471805599453
29,29,"[<__main__.Word instance at 0x11ae51320>
 <__main__.Word instance at 0x11ae511b8>
 <__main__.Word instance at 0x11ae513f8>
 <__main__.Word instance at 0x11ae51290>
 <__main__.Word instance at 0x11ae514d0>]",Ethan,2_0,False,False,"[['it'], ['on'], ['go', 'room_room'], ['will']]",willgoroom_roomonit,itwillgoroom_roomon,0.0416666666667,-0.0425596144188,False,-0.04255961441879589
30,30,"[<__main__.Word instance at 0x11ae515a8>
 <__main__.Word instance at 0x11ae51680>
 <__main__.Word instance at 0x11ae51518>
 <__main__.Word instance at 0x11ae517a0>]",Ethan,2_0,False,False,"[['show'], ['I', 'will'], ['you']]",Iwillshowyou,youIwillshow,0.166666666667,-0.182321556794,False,-0.1823215567939546
31,31,"[<__main__.Word instance at 0x11ae517e8>
 <__main__.Word instance at 0x11ae51488>
 <__main__.Word instance at 0x11ae519e0>
 <__main__.Word instance at 0x11ae51878>
 <__main__.Word instance at 0x11ae51908>
 <__main__.Word instance at 0x11ae515f0>
 <__main__.Word instance at 0x11ae51c20>
 <__main__.Word instance at 0x11ae51b00>]",Ethan,2_0,False,False,"[['go'], ['it'], ['to'], ['the', 'way'], ['all'], ['the', 'left']]",itgoallthewaytotheleft,theleftitallthewaytogo,0.00138888888889,-0.00138985428905,False,-0.0013898542890543016
32,32,"[<__main__.Word instance at 0x11ae51998>
 <__main__.Word instance at 0x11ae51e18>]",Ethan,2_0,False,True,"[['under'], ['couch']]",undercouch,undercouch,0.5,0.69314718056,False,0.6931471805599453
33,33,"[<__main__.Word instance at 0x11ae51ea8>
 <__main__.Word instance at 0x11ae51d88>
 <__main__.Word instance at 0x11ae51f80>]",Ethan,2_0,False,False,"[['train'], ['break', 'down']]",breakdowntrain,trainbreakdown,0.5,-0.69314718056,False,-0.6931471805599453
34,34,"[<__main__.Word instance at 0x11ae51ef0>
 <__main__.Word instance at 0x11ae51bd8>
 <__main__.Word instance at 0x11ae54050>]",Ethan,2_0,False,False,"[['it'], ['off'], ['turn']]",turnitoff,offturnit,0.166666666667,-0.182321556794,False,-0.1823215567939546
35,35,"[<__main__.Word instance at 0x11ae540e0>
 <__main__.Word instance at 0x11ae543f8>]",Ethan,2_0,False,True,"[['the'], ['play']]",theplay,theplay,0.5,0.69314718056,False,0.6931471805599453
36,36,"[<__main__.Word instance at 0x11ae54488>
 <__main__.Word instance at 0x11ae541b8>]",Ethan,2_0,False,True,"[['the', 'train']]",thetrain,thetrain,1.0,0.0,False,-0.0
37,37,"[<__main__.Word instance at 0x11ae54518>
 <__main__.Word instance at 0x11ae54830>
 <__main__.Word instance at 0x11ae546c8>
 <__main__.Word instance at 0x11ae54908>
 <__main__.Word instance at 0x11ae545f0>
 <__main__.Word instance at 0x11ae54998>
 <__main__.Word instance at 0x11ae54b48>
 <__main__.Word instance at 0x11ae54a28>]",Ethan,2_0,False,False,"[['in'], ['oven'], ['it'], ['put'], ['I'], ['the'], ['oven'], ['put']]",putitovenIputintheoven,itintheputputovenIoven,2.48015873016e-05,-2.4801894866e-05,True,-9.921127048169414e-05
38,38,"[<__main__.Word instance at 0x11ae54bd8>
 <__main__.Word instance at 0x11ae54dd0>
 <__main__.Word instance at 0x11ae54b00>
 <__main__.Word instance at 0x11ae54f80>]",Ethan,2_0,False,False,"[['I'], ['put'], ['in'], ['in']]",Iputinin,inIinput,0.0416666666667,-0.0425596144188,True,-0.08701137698962981
